/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data of Cibiicidoides in piston core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951396, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.030 m * MAXIMUM DEPTH, sediment/rock: 26.940 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	23074 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	Cibicidoides spp. δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	Cibicidoides spp. δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
	37.00	264.54	263.23000	263.23000	264.54000	260.09000	262.07000		3.82	0.1600
	37.01	264.61	263.28000	263.29000	264.61000	260.16000	262.12000		3.97	0.1900
	37.02	264.68	263.35000	263.35000	264.68000	260.23000	262.18000		3.96	0.0100
	37.04	264.81	263.47000	263.47000	264.81000	260.38000	262.28000		3.98	0.2100
	37.05	264.88	263.52000	263.53000	264.88000	260.45000	262.34000		4.02	0.1800
	37.06	264.95	263.59000	263.59000	264.95000	260.52000	262.39000		4.11	0.2300
	37.07	265.01	263.63000	263.65000	265.01000	260.59000	262.44000		4.03	0.2100
	37.08	265.08	263.71000	263.71000	265.08000	260.66000	262.50000		3.98	0.1700
	37.09	265.15	263.75000	263.77000	265.15000	260.73000	262.55000		3.95	0.3100
	37.10	265.22	263.83000	263.83000	265.22000	260.80000	262.60000		3.98	0.2600
	37.11	265.28	263.87000	263.89000	265.28000	260.87000	262.66000		3.92	0.1300
	37.12	265.35	263.96000	263.95000	265.35000	260.94000	262.71000		3.89	0.1800
	37.13	265.42	263.99000	264.02000	265.42000	261.02000	262.76000		4.04	0.0600
	37.14	265.49	264.08000	264.08000	265.49000	261.09000	262.82000		3.87	0.1400
	37.15	265.55	264.11000	264.14000	265.55000	261.16000	262.87000		4.00	0.1500
	37.16	265.62	264.20000	264.20000	265.62000	261.23000	262.92000		3.93	0.1900
	37.17	265.69	264.23000	264.26000	265.69000	261.30000	262.98000		3.93	0.0300
	37.18	265.76	264.32000	264.32000	265.76000	261.37000	263.03000		3.85	0.2200
	37.19	265.82	264.35000	264.38000	265.82000	261.44000	263.08000		3.80	-0.0500
	37.21	265.96	264.47000	264.50000	265.96000	261.58000	263.19000		3.80	0.0800
	37.23	266.09	264.59000	264.62000	266.09000	261.73000	263.30000		4.03	0.0700
	37.24	266.16	264.71000	264.68000	266.16000	261.80000	263.35000		3.68	-0.1800
	37.26	266.30	264.83000	264.80000	266.30000	261.94000	263.46000		4.04	0.2500
	37.28	266.43	264.95000	264.92000	266.43000	262.08000	263.56000		4.25	0.2200
	37.30	266.57	265.07000	265.04000	266.57000	262.22000	263.67000		4.00	0.2100
	37.32	266.70	265.19000	265.16000	266.70000	262.36000	263.78000		4.06	0.2500
	37.34	266.84	265.31000	265.28000	266.84000	262.51000	263.88000		4.00	0.2700
	37.36	266.97	265.43000	265.40000	266.97000	262.65000	263.99000		3.93	0.1200
	37.38	267.11	265.54000	265.52000	267.11000	262.79000	264.10000		3.96	0.2300
	37.42	267.38	265.78000	265.77000	267.38000	263.07000	264.31000		3.93	0.1400
	37.44	267.51	265.90000	265.89000	267.51000	263.22000	264.42000		4.01	0.1000
	37.46	267.65	266.02000	266.01000	267.65000	263.36000	264.53000		3.89	0.1200
	37.48	267.78	266.14000	266.13000	267.78000	263.50000	264.63000		3.94	0.4000
	37.50	267.91	266.26000	266.25000	267.91000	263.64000	264.74000		3.94	0.2100
	37.52	268.05	266.37000	266.37000	268.05000	263.78000	264.85000		3.78	0.4200
	37.52	268.05	266.38000	266.37000	268.05000	263.78000	264.85000		3.92	0.1700
	37.54	268.18	266.50000	266.49000	268.18000	263.93000	264.95000		3.94	0.2900
	37.56	268.32	266.62000	266.61000	268.32000	264.07000	265.06000		3.85	0.3400
	37.58	268.45	266.74000	266.73000	268.45000	264.21000	265.17000		4.00	0.2200
	37.60	268.59	266.86000	266.85000	268.59000	264.36000	265.27000		3.93	0.3900
	37.66	268.99	267.22000	267.21000	268.99000	264.81000	265.59000		3.63	-0.2200
	37.70	269.26	267.46000	267.46000	269.26000	265.11000	265.81000		3.81	0.2500
	37.72	269.40	267.58000	267.58000	269.40000	265.26000	265.91000		3.71	-0.2300
	37.78	269.80	267.94000	267.94000	269.80000	265.71000	266.23000		3.69	-0.2000
	37.82	270.07	268.18000	268.18000	270.07000	266.01000	266.54000		3.63	-0.2800
	37.86	270.34	268.42000	268.42000	270.34000	266.30000	266.88000		3.69	-0.4200
	37.88	270.48	268.54000	268.54000	270.48000	266.45000	267.05000		3.92	-0.5000
	37.90	270.61	268.66000	268.66000	270.61000	266.60000	267.22000		3.70	-0.4500
	37.98	271.15	269.15000	269.15000	271.15000	267.20000	267.90000		3.90	-0.5200
	38.00	271.29	269.27000	269.27000	271.29000	267.35000	268.07000		4.01	-0.4800
	38.02	271.42	269.39000	269.39000	271.42000	267.50000	268.24000		3.99	-0.5800
	38.06	271.69	269.63000	269.63000	271.69000	267.80000	268.58000		3.91	-0.8000
	38.10	271.96	269.87000	269.87000	271.96000	268.10000	268.92000		3.94	-0.5900
	38.18	272.50	270.35000	270.35000	272.50000	268.70000	269.60000		3.81	-0.4700
	38.20	272.64	270.47000	270.47000	272.64000	268.85000	269.77000		3.84	-0.5500
	38.26	273.04	270.84000	270.84000	273.04000	269.30000	270.29000		4.23	-0.6200
	38.28	273.18	270.96000	270.96000	273.18000	269.45000	270.46000		4.06	-0.5400
	38.30	273.31	271.08000	271.08000	273.31000	269.60000	270.63000		4.11	-0.6400
	38.34	273.58	271.32000	271.32000	273.58000	269.90000	270.97000		4.16	-0.5500
	38.36	273.72	271.44000	271.44000	273.72000	270.05000	271.14000		4.23	-0.4700
	38.40	273.98	271.68000	271.68000	273.98000	270.34000	271.48000		3.97	-0.4900
	38.42	274.12	271.80000	271.80000	274.12000	270.49000	271.65000		4.01	-0.3900
	38.44	274.25	271.92000	271.92000	274.25000	270.64000	271.82000		3.96	-0.2400
	38.48	274.52	272.16000	272.16000	274.52000	270.94000	272.16000		4.15	-0.1300
	38.50	274.66	272.29000	272.29000	274.66000	271.09000	272.33000		4.16	-0.1300
	38.52	274.79	272.41000	272.41000	274.79000	271.24000	272.50000		4.11	-0.2700
	38.54	274.93	272.53000	272.53000	274.93000	271.39000	272.67000		4.04	-0.2900
	38.56	275.06	272.65000	272.65000	275.06000	271.54000	272.84000		4.07	-0.3600
	38.58	275.20	272.77000	272.77000	275.20000	271.69000	273.01000		3.93	-0.1400
	38.60	275.33	272.89000	272.89000	275.33000	271.84000	273.18000		4.16	-0.1300
	38.62	275.47	273.01000	273.01000	275.47000	271.99000	273.35000		4.06	-0.0300
	38.64	275.60	273.13000	273.13000	275.60000	272.14000	273.52000		4.11	-0.1300
	38.66	275.74	273.25000	273.25000	275.74000	272.29000	273.69000		4.09	-0.1500
	38.68	275.87	273.37000	273.37000	275.87000	272.50000	273.86000		4.08	-0.1200
	38.70	276.01	273.49000	273.49000	276.01000	272.72000	274.04000		3.90	-0.0400
	38.72	276.14	273.61000	273.61000	276.14000	272.93000	274.21000		3.98	0.0200
	38.76	276.41	273.85000	273.85000	276.41000	273.36000	274.55000		3.92	-0.0700
	38.78	276.55	273.98000	273.98000	276.55000	273.57000	274.72000		3.90	-0.0200
	38.82	276.82	274.22000	274.22000	276.82000	274.00000	275.06000		4.00	-0.1800
	38.86	277.09	274.46000	274.46000	277.09000	274.43000	275.40000		4.18	-0.0500
	38.88	277.22	274.58000	274.58000	277.22000	274.64000	275.57000		3.93	-0.1600
	38.90	277.36	274.70000	274.70000	277.36000	274.85000	275.74000		3.88	-0.1600
	38.92	277.49	274.82000	274.82000	277.49000	275.07000	275.91000		4.16	-0.0100
	38.94	277.63	274.94000	274.94000	277.63000	275.28000	276.08000		4.18	0.0100
	38.96	277.76	275.06000	275.06000	277.76000	275.45000	276.25000		4.11	0.0600
	38.98	277.90	275.18000	275.18000	277.90000	275.62000	276.42000		4.08	0.0300
	39.00	278.03	275.30000	275.30000	278.03000	275.79000	276.59000		4.05	0.2100
	39.02	278.17	275.42000	275.42000	278.17000	275.97000	276.76000		4.14	0.1800
	39.04	278.30	275.54000	275.54000	278.30000	276.14000	276.93000		3.95	0.1000
	39.06	278.44	275.67000	275.67000	278.44000	276.31000	277.10000		4.16	0.0700
	39.08	278.57	275.79000	275.79000	278.57000	276.48000	277.27000		4.03	0.2900
	39.10	278.71	275.91000	275.91000	278.71000	276.65000	277.44000		3.85	0.0800
	39.12	278.84	276.03000	276.03000	278.84000	276.82000	277.61000		3.90	-0.0600
	39.16	279.11	276.27000	276.27000	279.11000	277.16000	277.96000		3.93	0.4300
	39.28	279.92	276.99000	276.99000	279.92000	278.01000	278.98000		3.80	0.4800
	39.30	280.05	277.11000	277.11000	280.05000	278.15000	279.15000		3.69	0.4700
	39.34	280.32	277.36000	277.36000	280.32000	278.43000	279.49000		3.65	0.4900
	39.36	280.46	277.48000	277.48000	280.46000	278.57000	279.66000		3.76	0.4100
	39.40	280.73	277.72000	277.72000	280.73000	278.85000	280.00000		3.75	0.3000
	39.46	281.13	278.08000	278.08000	281.13000	279.26000	280.51000		3.94	0.2500
	39.48	281.27	278.20000	278.20000	281.27000	279.40000	280.68000		3.65	0.6700
	39.50	281.40	278.32000	278.32000	281.40000	279.54000	280.85000		3.69	0.3100
	39.52	281.54	278.44000	278.44000	281.54000	279.68000	281.02000		3.76	0.5400
	39.66	282.48	279.29000	279.29000	282.48000	280.68000	282.22000		3.72	0.6600
	39.72	282.89	279.65000	279.65000	282.89000	281.25000	282.73000		3.69	0.7300
	39.76	283.16	279.89000	279.89000	283.16000	281.63000	283.07000		3.56	0.8100
	39.78	283.29	280.01000	280.01000	283.29000	281.83000	283.24000		3.57	0.5200
	39.80	283.43	280.13000	280.13000	283.43000	282.02000	283.41000		3.46	0.7200
	39.84	283.70	280.37000	280.37000	283.70000	282.40000	283.70000		3.57	0.8100
	39.86	283.83	280.49000	280.49000	283.83000	282.59000	283.82000		3.45	0.6500
	39.88	283.97	280.62000	280.62000	283.97000	282.79000	283.94000		3.50	0.7400
	39.90	284.10	280.74000	280.74000	284.10000	282.98000	284.06000		3.51	0.6900
	39.92	284.24	280.86000	280.86000	284.24000	283.17000	284.18000		3.41	0.5100
	39.94	284.37	280.98000	280.98000	284.37000	283.36000	284.30000		3.46	0.7200
	39.96	284.51	281.10000	281.10000	284.51000	283.55000	284.42000		3.47	0.7100
	39.98	284.64	281.22000	281.22000	284.64000	283.74000	284.54000		3.46	0.8100
	40.00	284.78	281.34000	281.34000	284.78000	283.94000	284.66000		3.34	0.6700
	40.02	284.91	281.46000	281.46000	284.91000	284.13000	284.78000		3.37	0.3800
	40.06	285.18	281.70000	281.70000	285.18000	284.51000	285.02000		3.32	0.7600
	40.08	285.32	281.82000	281.82000	285.32000	284.70000	285.14000		3.26	0.6600
	40.10	285.45	281.94000	281.94000	285.45000	284.89000	285.26000		3.20	0.7600
	40.12	285.59	282.06000	282.06000	285.59000	285.09000	285.38000		3.39	0.7700
	40.14	285.72	282.18000	282.18000	285.72000	285.28000	285.50000		3.33	0.6800
	40.18	285.99	282.43000	282.43000	285.99000	285.66000	285.75000		3.39	0.7200
	40.22	286.26	282.67000	282.67000	286.26000	286.04000	285.99000		3.27	0.6900
	40.24	286.39	282.79000	282.79000	286.39000	286.24000	286.11000		3.36	0.6600
	40.26	286.53	282.91000	282.91000	286.53000	286.43000	286.23000		3.40	0.7600
	40.28	286.66	283.03000	283.03000	286.66000	286.62000	286.35000		3.42	0.7700
	40.30	286.80	283.15000	283.15000	286.80000	286.81000	286.47000		3.35	0.7000
	40.34	287.07	283.39000	283.39000	287.07000	287.20000	286.71000		3.29	0.7100
	40.36	287.20	283.51000	283.51000	287.20000	287.39000	286.83000		3.36	0.6500
	40.38	287.34	283.63000	283.63000	287.34000	287.58000	286.95000		3.29	0.6700
	40.40	287.47	283.75000	283.75000	287.47000	287.77000	287.07000		3.35	0.7400
	40.42	287.61	283.87000	283.87000	287.61000	287.96000	287.19000		3.29	0.7300
	40.44	287.74	284.00000	284.00000	287.74000	288.15000	287.31000		3.28	0.6200
	40.46	287.88	284.12000	284.12000	287.88000	288.35000	287.43000		3.20	0.6600
	40.48	288.01	284.24000	284.24000	288.01000	288.54000	287.55000		3.38	0.7000
	40.50	288.15	284.36000	284.36000	288.15000	288.73000	287.68000		3.37	0.6600
	40.52	288.28	284.48000	284.48000	288.28000	288.92000	287.80000		3.24	0.5800
	40.54	288.42	284.60000	284.60000	288.42000	289.11000	287.92000		3.31	0.7900
	40.56	288.55	284.72000	284.72000	288.55000	289.30000	288.04000		3.34	0.7100
	40.58	288.69	284.86000	284.86000	288.69000	289.50000	288.16000		3.18	0.7400
	40.60	288.82	284.99000	284.99000	288.82000	289.69000	288.28000		3.32	0.7000
	40.62	288.96	285.13000	285.13000	288.96000	289.88000	288.40000		3.27	0.7400
	40.64	289.09	285.27000	285.27000	289.09000	290.07000	288.52000		3.21	0.6300
	40.66	289.22	285.41000	285.41000	289.22000	290.26000	288.64000		3.23	0.7400
	40.68	289.34	285.54000	285.54000	289.34000	290.45000	288.76000		3.34	0.7900
	40.70	289.47	285.68000	285.68000	289.47000	290.65000	288.88000		3.25	0.6100
	40.72	289.59	285.82000	285.82000	289.59000	290.84000	289.00000		3.29	0.5100
	40.74	289.71	285.96000	285.96000	289.71000	291.03000	289.12000		3.35	0.6400
	40.76	289.84	286.09000	286.09000	289.84000	291.22000	289.24000		3.43	0.6800
	40.78	289.96	286.23000	286.23000	289.96000	291.41000	289.36000		3.18	0.6500
	40.80	290.08	286.37000	286.37000	290.08000	291.61000	289.48000		3.23	0.5100
	40.82	290.20	286.51000	286.51000	290.20000	291.80000	289.60000		3.27	0.5100
	40.84	290.33	286.64000	286.64000	290.33000	291.99000	289.73000		3.18	0.6200
	40.86	290.45	286.78000	286.78000	290.45000	292.18000	289.85000		3.13	0.4400
	40.88	290.57	286.92000	286.92000	290.57000	292.37000	289.97000		3.24	0.6700
	40.90	290.69	287.06000	287.06000	290.69000	292.56000	290.09000		3.14	0.3600
	40.92	290.82	287.19000	287.19000	290.82000	292.69000	290.21000		3.08	0.4300
	40.96	291.06	287.47000	287.47000	291.06000	292.82000	290.45000		3.01	0.1000
	40.98	291.19	287.61000	287.61000	291.19000	292.88000	290.57000		3.11	0.2200
	41.00	291.31	287.74000	287.74000	291.31000	292.94000	290.69000		3.26	0.1600
	41.06	291.68	288.16000	288.16000	291.68000	293.13000	291.05000		3.29	0.1000
	41.16	292.29	288.84000	288.84000	292.29000	293.44000	291.66000		3.52	-0.0300
	41.20	292.54	289.12000	289.12000	292.54000	293.56000	291.90000		3.61	-0.3300
	41.22	292.66	289.25000	289.25000	292.66000	293.62000	292.02000		3.50	-0.0500
	41.24	292.78	289.39000	289.39000	292.78000	293.69000	292.14000		3.52	-0.0200
	41.26	292.90	289.53000	289.53000	292.90000	293.75000	292.36000		3.68	-0.0500
	41.28	293.03	289.67000	289.67000	293.03000	293.81000	292.59000		3.49	-0.0100
	41.32	293.27	289.94000	289.94000	293.27000	293.94000	293.05000		3.39	0.0000
	41.39	293.70	290.42000	290.42000	293.70000	294.15000	293.87000		3.79	-0.0500
	41.45	294.07	290.84000	290.84000	294.07000	294.34000	294.56000		3.79	-0.2800
	41.47	294.19	290.97000	290.97000	294.19000	294.40000	294.79000		4.02	0.1800
	41.49	294.32	291.11000	291.11000	294.32000	294.47000	295.03000		3.90	0.2300
	41.57	294.81	291.66000	291.66000	294.81000	294.71000	295.96000		3.77	0.0400
	41.59	294.93	291.80000	291.80000	294.93000	294.78000	296.19000		3.87	0.2000
	41.61	295.05	291.93000	291.93000	295.05000	294.84000	296.42000		3.87	0.3000
	41.63	295.17	292.07000	292.07000	295.17000	294.90000	296.65000		3.69	0.0200
	41.65	295.30	292.21000	292.21000	295.30000	294.96000	296.88000		3.87	0.1600
	41.67	295.42	292.35000	292.35000	295.42000	295.03000	297.12000		3.81	0.2700
	41.69	295.54	292.48000	292.48000	295.54000	295.09000	297.35000		3.72	0.3600
	41.73	295.79	292.76000	292.76000	295.79000	295.21000	297.81000		3.77	0.2000
	41.75	295.91	292.90000	292.90000	295.91000	295.27000	298.05000		3.60	0.1100
	41.77	296.03	293.03000	293.03000	296.03000	295.34000	298.28000		3.85	0.3000
	41.79	296.16	293.17000	293.17000	296.16000	295.40000	298.51000		3.73	0.0000
	41.83	296.40	293.45000	293.45000	296.40000	295.52000	298.97000		3.72	0.2300
	41.85	296.53	293.58000	293.58000	296.53000	295.59000	299.21000		3.78	0.3600
	41.87	296.65	293.72000	293.72000	296.65000	295.65000	299.44000		3.89	0.1000
	41.89	296.77	293.86000	293.86000	296.77000	295.71000	299.67000		3.60	0.1000
	41.91	296.89	294.00000	294.00000	296.89000	295.77000	299.90000		3.74	-0.0700
	41.95	297.14	294.27000	294.27000	297.14000	295.90000	300.37000		3.75	0.1600
	41.97	297.26	294.41000	294.41000	297.26000	295.96000	300.60000		3.90	0.0200
	41.99	297.38	294.55000	294.55000	297.38000	296.07000	300.83000		3.75	0.0700
	42.03	297.63	294.82000	294.82000	297.63000	296.39000	301.30000		3.92	0.0200
	42.05	297.75	294.96000	294.96000	297.75000	296.56000	301.53000		3.93	0.4400
	42.07	297.88	295.10000	295.10000	297.88000	296.72000	301.76000		3.91	0.4200
	42.11	298.12	295.37000	295.37000	298.12000	297.04000	302.23000		3.93	0.4800
	42.17	298.49	295.72000	295.72000	298.49000	297.53000	302.92000		3.91	0.2000
	42.19	298.61	295.83000	295.83000	298.61000	297.69000	303.15000		3.85	0.1700
	42.21	298.73	295.95000	295.95000	298.73000	297.85000	303.39000		3.78	0.5600
	42.23	298.86	296.07000	296.07000	298.86000	298.01000	303.62000		3.73	0.4300
	42.25	298.98	296.18000	296.18000	298.98000	298.17000	303.85000		3.78	0.4800
	42.27	299.10	296.30000	296.30000	299.10000	298.34000	304.08000		3.92	0.2900
	42.31	299.35	296.53000	296.53000	299.35000	298.66000	304.55000		3.61	0.5100
	42.33	299.47	296.65000	296.65000	299.47000	298.82000	304.78000		3.64	0.6200
	42.35	299.59	296.76000	296.76000	299.59000	298.98000	305.01000		3.93	0.5800
	42.37	299.72	296.88000	296.88000	299.72000	299.14000	305.24000		3.71	0.5900
	42.39	299.84	297.00000	297.00000	299.84000	299.31000	305.48000		3.72	0.5200
	42.45	300.21	297.35000	297.35000	300.21000	299.79000	306.17000		3.81	0.7600
	42.47	300.33	297.46000	297.46000	300.33000	299.95000	306.41000		3.61	0.5400
	42.53	300.70	297.81000	297.81000	300.70000	300.44000	307.10000		3.51	0.4800
	42.55	300.82	297.93000	297.93000	300.82000	300.60000	307.33000		3.52	0.0200
	42.57	300.94	298.04000	298.04000	300.94000	300.75000	307.57000		3.92	0.6100
	42.59	301.07	298.16000	298.16000	301.07000	300.90000	307.80000		3.70	0.1500
	42.61	301.19	298.27000	298.27000	301.19000	301.05000	308.03000		3.89	0.7700
	42.63	301.31	298.39000	298.39000	301.31000	301.20000	308.26000		3.88	0.7700
	42.65	301.44	298.51000	298.51000	301.44000	301.35000	308.50000		3.76	0.6500
	42.69	301.68	298.74000	298.74000	301.68000	301.66000	308.96000		3.75	0.6800
	42.71	301.80	298.86000	298.86000	301.80000	301.81000	309.19000		3.63	0.6400
	42.73	301.93	298.97000	298.97000	301.93000	301.96000	309.42000		3.58	0.5800
	42.77	302.17	299.20000	299.20000	302.17000	302.26000	309.89000		3.53	0.3000
	42.79	302.29	299.32000	299.32000	302.29000	302.41000	310.12000		3.76	0.6500
	42.81	302.42	299.44000	299.44000	302.42000	302.56000	310.35000		3.62	0.6200
	42.83	302.54	299.55000	299.55000	302.54000	302.72000	310.59000		3.72	0.4900
	42.85	302.66	299.67000	299.67000	302.66000	302.87000	310.82000		3.67	0.7000
	42.88	302.85	299.84000	299.84000	302.85000	303.09000	311.17000		3.51	0.7300
	42.90	302.97	299.96000	299.96000	302.97000	303.24000	311.40000		3.63	0.6200
	42.92	303.09	300.08000	300.08000	303.09000	303.40000	311.63000		3.52	0.7600
	42.94	303.21	300.19000	300.19000	303.21000	303.55000	311.86000		3.55	0.6200
	42.96	303.34	300.31000	300.31000	303.34000	303.70000	312.09000		3.53	0.7700
	42.98	303.46	300.42000	300.42000	303.46000	303.85000	312.31000		3.56	0.7800
	43.00	303.58	300.54000	300.54000	303.58000	304.00000	312.51000		3.22	0.7000
	43.02	303.71	300.66000	300.66000	303.71000	304.15000	312.72000		2.96	0.7200
	43.04	303.83	300.77000	300.77000	303.83000	304.30000	312.92000		3.43	0.5600
	43.06	303.95	300.89000	300.89000	303.95000	304.46000	313.13000		3.27	0.5400
	43.08	304.07	301.01000	301.01000	304.07000	304.61000	313.33000		3.39	0.8000
	43.10	304.20	301.12000	301.12000	304.20000	304.76000	313.54000		3.37	0.6700
	43.12	304.32	301.24000	301.24000	304.32000	304.91000	313.74000		3.32	0.6400
	43.14	304.44	301.35000	301.35000	304.44000	305.06000	313.95000		3.39	0.7600
	43.16	304.57	301.47000	301.47000	304.57000	305.21000	314.15000		3.40	0.6000
	43.18	304.69	301.59000	301.59000	304.69000	305.36000	314.36000		3.27	0.5900
	43.22	304.93	301.82000	301.82000	304.93000	305.67000	314.77000		3.43	0.7200
	43.24	305.06	301.93000	301.93000	305.06000	305.82000	314.97000		3.33	0.5800
	43.26	305.18	302.05000	302.05000	305.18000	305.97000	315.18000		3.50	0.5300
	43.32	305.55	302.40000	302.40000	305.55000	306.42000	315.79000		3.19	0.3300
	43.34	305.67	302.52000	302.52000	305.67000	306.58000	316.00000		3.50	0.2100
	43.46	306.41	303.21000	303.21000	306.41000	307.48000	317.23000		3.65	0.3600
	43.48	306.53	303.33000	303.33000	306.53000	307.63000	317.43000		3.70	0.3500
	43.48	306.53	303.33000	303.33000	306.53000	307.63000	317.43000		3.62	0.4400
	43.49	306.59	303.39000	303.39000	306.59000	307.71000	317.54000		3.60	0.5500
	43.50	306.65	303.44000	303.44000	306.65000	307.79000	317.64000		3.75	0.4700
	43.51	306.71	303.52000	303.50000	306.71000	307.86000	317.74000		3.32	0.5900
	43.52	306.77	303.56000	303.56000	306.77000	307.94000	317.84000		3.43	0.6700
