/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): XRF Ca/Ti and Zr/Sr ratios for sediment core MD01-2444. PANGAEA, https://doi.org/10.1594/PANGAEA.951398, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	LATITUDE: 37.565000 * LONGITUDE: -10.134000
	MINIMUM DEPTH, sediment/rock: 0.180 m * MAXIMUM DEPTH, sediment/rock: 26.907 m
Event(s):	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Calcium/Titanium ratio (Ca/Ti) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
	Zirconium/Strontium ratio (Zr/Sr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	31782 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	Ca/Ti (X-ray fluorescence Avaatech c...)	Zr/Sr (X-ray fluorescence Avaatech c...)
4.362	3.44	20.65	20.28300	21.94300	20.11500	18.79100	20.99900	20.55600	25.579	0.24827
4.365	3.44	20.66	20.28900	21.94900	20.12300	18.79600	21.00700	20.56200	26.962	0.25018
4.367	3.44	20.66	20.29500	21.95600	20.13100	18.80000	21.01400	20.56800	26.784	0.24893
4.370	3.45	20.67	20.30100	21.96200	20.13900	18.80500	21.02100	20.57400	26.407	0.26240
4.372	3.45	20.68	20.30800	21.96900	20.14700	18.81000	21.02900	20.58000	26.015	0.25467
4.375	3.45	20.68	20.31400	21.97500	20.15500	18.81400	21.03600	20.58700	26.097	0.25787
4.378	3.45	20.69	20.32000	21.98200	20.16200	18.81900	21.04400	20.59300	27.133	0.25836
4.380	3.45	20.69	20.32600	21.98800	20.17100	18.82400	21.05100	20.59900	26.908	0.24332
4.383	3.45	20.70	20.33200	21.99500	20.17800	18.82800	21.05900	20.60500	25.964	0.26340
4.385	3.46	20.70	20.33900	22.00200	20.18700	18.83300	21.06600	20.61100	24.325	0.27774
4.388	3.46	20.71	20.34500	22.00800	20.19400	18.83800	21.07400	20.61800	23.658	0.27798
4.390	3.46	20.71	20.35100	22.01500	20.20300	18.84200	21.08100	20.62400	24.303	0.28066
4.393	3.46	20.72	20.35700	22.02100	20.21000	18.84700	21.08800	20.63000	24.442	0.26215
4.395	3.46	20.73	20.36300	22.02800	20.21800	18.85200	21.09600	20.63600	22.849	0.27457
4.397	3.46	20.73	20.37000	22.03400	20.22600	18.85600	21.10300	20.64200	23.339	0.27954
4.400	3.46	20.74	20.37600	22.04100	20.23400	18.86100	21.11100	20.64800	24.066	0.27246
4.402	3.47	20.74	20.38300	22.04800	20.24200	18.86600	21.11800	20.65500	24.114	0.27696
4.405	3.47	20.75	20.38900	22.05400	20.25000	18.87000	21.12600	20.66100	24.483	0.29226
4.407	3.47	20.75	20.39500	22.06000	20.25800	18.87500	21.13300	20.66700	25.214	0.29508
4.410	3.47	20.76	20.40100	22.06700	20.26600	18.88000	21.14100	20.67300	25.733	0.29598
4.412	3.47	20.77	20.40700	22.07400	20.27300	18.88500	21.14800	20.67900	24.086	0.29544
4.415	3.47	20.77	20.41400	22.08000	20.28200	18.88900	21.15500	20.68500	24.635	0.28141
4.418	3.48	20.78	20.42000	22.08700	20.28900	18.89400	21.16300	20.69100	26.946	0.26180
4.420	3.48	20.78	20.42600	22.09300	20.29700	18.89900	21.17000	20.69800	28.046	0.24527
4.423	3.48	20.79	20.43200	22.10000	20.30500	18.90300	21.17800	20.70400	29.272	0.25856
4.425	3.48	20.79	20.43800	22.10600	20.31300	18.90800	21.18500	20.71000	28.560	0.26103
4.428	3.48	20.80	20.44500	22.11300	20.32100	18.91300	21.19300	20.71600	29.166	0.26232
4.430	3.48	20.80	20.45100	22.11900	20.32900	18.91700	21.20000	20.72200	27.985	0.24837
4.433	3.48	20.81	20.45700	22.12600	20.33700	18.92200	21.20800	20.72900	26.090	0.27433
4.435	3.49	20.82	20.46300	22.13300	20.34500	18.92700	21.21500	20.73500	26.557	0.30082
4.438	3.49	20.82	20.47000	22.13900	20.35300	18.93100	21.22200	20.74100	25.680	0.26986
4.440	3.49	20.83	20.47600	22.14600	20.36100	18.93600	21.23000	20.74700	26.079	0.27086
4.442	3.49	20.83	20.48200	22.15200	20.36800	18.94100	21.23700	20.75300	25.656	0.29765
4.445	3.49	20.84	20.48900	22.15900	20.37700	18.94500	21.24500	20.75900	25.698	0.27805
4.447	3.49	20.84	20.49500	22.16500	20.38400	18.95000	21.25200	20.76600	25.652	0.28085
4.450	3.50	20.85	20.50100	22.17200	20.39200	18.95500	21.26000	20.77200	25.643	0.28537
4.452	3.50	20.85	20.50700	22.17900	20.40000	18.95900	21.26700	20.77800	26.268	0.26792
4.455	3.50	20.86	20.51300	22.18500	20.40800	18.96400	21.27500	20.78400	25.969	0.28005
4.457	3.50	20.86	20.52000	22.19200	20.41600	18.96900	21.28200	20.79000	25.912	0.26182
4.460	3.50	20.87	20.52600	22.19800	20.42400	18.97300	21.28900	20.79600	26.318	0.28232
4.463	3.50	20.88	20.53200	22.20500	20.43200	18.97800	21.29700	20.80200	26.015	0.27187
4.465	3.50	20.88	20.53800	22.21100	20.44000	18.98300	21.30400	20.80900	26.864	0.28779
4.468	3.51	20.89	20.54400	22.21800	20.44800	18.98700	21.31200	20.81500	26.316	0.29152
4.470	3.51	20.89	20.55100	22.22500	20.45600	18.99200	21.31900	20.82100	26.240	0.27298
4.473	3.51	20.90	20.55700	22.23100	20.46300	18.99700	21.32700	20.82700	25.784	0.28401
4.475	3.51	20.90	20.56300	22.23700	20.47100	19.00200	21.33400	20.83300	25.988	0.27614
4.478	3.51	20.91	20.56900	22.24400	20.47900	19.00600	21.34200	20.84000	26.499	0.26762
4.480	3.51	20.91	20.57600	22.25000	20.48700	19.01100	21.34900	20.84600	26.050	0.26948
4.482	3.52	20.92	20.58200	22.25700	20.49500	19.01600	21.35600	20.85200	26.267	0.25719
4.485	3.52	20.93	20.58800	22.26400	20.50300	19.02000	21.36400	20.85800	26.504	0.27209
4.487	3.52	20.93	20.59400	22.27000	20.51100	19.02500	21.37100	20.86400	26.207	0.27210
4.490	3.52	20.94	20.60100	22.27700	20.51900	19.03000	21.37900	20.87000	25.891	0.27414
4.492	3.52	20.94	20.60700	22.28300	20.52700	19.03400	21.38600	20.87600	26.596	0.27772
4.495	3.52	20.95	20.61300	22.29000	20.53500	19.03900	21.39400	20.88300	26.669	0.27440
4.497	3.52	20.95	20.61900	22.29600	20.54300	19.04400	21.40100	20.88900	26.182	0.27144
4.500	3.53	20.96	20.62600	22.30300	20.55100	19.04800	21.40900	20.89500	25.110	0.27758
4.508	3.53	20.98	20.64400	22.32300	20.57400	19.06200	21.43100	20.91300	25.431	0.27184
4.510	3.53	20.98	20.65000	22.32900	20.58200	19.06700	21.43800	20.92000	26.029	0.28016
4.513	3.53	20.99	20.65700	22.33600	20.59000	19.07200	21.44600	20.92600	27.006	0.28984
4.515	3.54	20.99	20.66300	22.34200	20.59800	19.07600	21.45300	20.93200	26.463	0.26206
4.518	3.54	21.00	20.66900	22.34900	20.60600	19.08100	21.46100	20.93800	26.996	0.26087
4.520	3.54	21.00	20.67500	22.35600	20.61400	19.08600	21.46800	20.94400	26.195	0.27435
4.522	3.54	21.01	20.68200	22.36200	20.62200	19.09000	21.47600	20.95100	26.563	0.27404
4.525	3.54	21.02	20.68800	22.36900	20.63000	19.09500	21.48300	20.95700	26.962	0.28359
4.527	3.54	21.02	20.69400	22.37500	20.63800	19.10000	21.49000	20.96300	27.312	0.27426
4.530	3.54	21.03	20.70000	22.38100	20.64500	19.10400	21.49800	20.96900	26.726	0.28429
4.532	3.55	21.03	20.70700	22.38800	20.65400	19.10900	21.50500	20.97500	25.977	0.27010
4.535	3.55	21.04	20.71300	22.39500	20.66100	19.11400	21.51300	20.98100	26.211	0.26311
4.537	3.55	21.04	20.71900	22.40100	20.66900	19.11900	21.52000	20.98700	24.895	0.28343
4.540	3.55	21.05	20.72500	22.40800	20.67700	19.12300	21.52800	20.99400	25.993	0.26913
4.543	3.55	21.05	20.73100	22.41400	20.68500	19.12800	21.53500	21.00000	26.201	0.26751
4.545	3.55	21.06	20.73800	22.42100	20.69300	19.13300	21.54300	21.00600	26.461	0.26976
4.548	3.56	21.07	20.74400	22.42700	20.70100	19.13700	21.55000	21.01200	26.151	0.27718
4.550	3.56	21.07	20.75000	22.43400	20.70900	19.14200	21.55700	21.01800	26.722	0.27461
4.553	3.56	21.08	20.75600	22.44100	20.71700	19.14700	21.56500	21.02400	26.591	0.24594
4.555	3.56	21.08	20.76300	22.44700	20.72500	19.15100	21.57200	21.03100	27.240	0.26843
4.558	3.56	21.09	20.76900	22.45400	20.73300	19.15600	21.58000	21.03700	26.878	0.27512
4.560	3.56	21.09	20.77500	22.46000	20.74000	19.16100	21.58700	21.04300	27.023	0.26020
4.562	3.56	21.10	20.78200	22.46700	20.74900	19.16500	21.59500	21.04900	27.473	0.25816
4.565	3.57	21.10	20.78800	22.47300	20.75600	19.17000	21.60200	21.05500	26.841	0.27226
4.567	3.57	21.11	20.79400	22.48000	20.76400	19.17500	21.61000	21.06200	26.454	0.26647
4.570	3.57	21.11	20.80000	22.48700	20.77200	19.17900	21.61700	21.06800	26.490	0.27624
4.572	3.57	21.12	20.80600	22.49300	20.78000	19.18400	21.62400	21.07400	26.306	0.26800
4.575	3.57	21.13	20.81300	22.50000	20.78800	19.18900	21.63200	21.08000	27.550	0.28329
4.577	3.57	21.13	20.81900	22.50600	20.79600	19.19300	21.63900	21.08600	27.281	0.27850
4.580	3.58	21.14	20.82500	22.51300	20.80400	19.19800	21.64700	21.09200	25.946	0.27286
4.582	3.58	21.14	20.83100	22.51900	20.81200	19.20300	21.65400	21.09800	27.136	0.26240
4.585	3.58	21.15	20.83700	22.52600	20.81900	19.20700	21.66200	21.10500	25.445	0.26906
4.588	3.58	21.15	20.84400	22.53200	20.82800	19.21200	21.66900	21.11100	26.658	0.25912
4.590	3.58	21.16	20.85000	22.53900	20.83500	19.21700	21.67700	21.11700	29.624	0.22799
4.593	3.58	21.16	20.85600	22.54600	20.84400	19.22100	21.68400	21.12300	27.767	0.25802
4.595	3.58	21.17	20.86200	22.55200	20.85100	19.22600	21.69100	21.12900	27.060	0.26798
4.598	3.59	21.18	20.86900	22.55800	20.85900	19.23100	21.69900	21.13500	27.415	0.27002
4.600	3.59	21.18	20.87500	22.56500	20.86700	19.23600	21.70600	21.14200	28.117	0.24916
4.603	3.59	21.19	20.88100	22.57200	20.87500	19.24000	21.71400	21.14800	27.538	0.25189
4.605	3.59	21.19	20.88800	22.57800	20.88300	19.24500	21.72100	21.15400	27.255	0.25189
4.607	3.59	21.20	20.89400	22.58500	20.89100	19.25000	21.72900	21.16000	27.384	0.25612
4.610	3.59	21.20	20.90000	22.59200	20.89900	19.25400	21.73600	21.16600	27.194	0.26179
4.612	3.60	21.21	20.90600	22.59800	20.90700	19.25900	21.74400	21.17300	26.848	0.24366
4.615	3.60	21.21	20.91200	22.60400	20.91400	19.26400	21.75100	21.17900	27.303	0.23289
4.617	3.60	21.22	20.91900	22.61100	20.92300	19.26800	21.75800	21.18500	28.973	0.25300
4.620	3.60	21.23	20.92500	22.61800	20.93000	19.27300	21.76600	21.19100	27.710	0.24551
4.622	3.60	21.23	20.93100	22.62400	20.93900	19.27800	21.77300	21.19700	27.570	0.25159
4.625	3.60	21.24	20.93700	22.63100	20.94600	19.28200	21.78100	21.20300	28.688	0.24520
4.628	3.60	21.24	20.94300	22.63700	20.95400	19.28700	21.78800	21.20900	28.141	0.25472
4.630	3.61	21.25	20.95000	22.64400	20.96200	19.29200	21.79600	21.21600	26.932	0.21877
4.633	3.61	21.25	20.95600	22.65000	20.97000	19.29600	21.80300	21.22200	26.121	0.24166
4.635	3.61	21.26	20.96200	22.65700	20.97800	19.30100	21.81100	21.22800	25.815	0.24725
4.638	3.61	21.27	20.96800	22.66300	20.98600	19.30600	21.81800	21.23400	27.007	0.27901
4.640	3.61	21.27	20.97500	22.67000	20.99400	19.31000	21.82500	21.24000	26.922	0.28313
4.643	3.61	21.28	20.98100	22.67700	21.00200	19.31500	21.83300	21.24700	27.472	0.29681
4.645	3.62	21.28	20.98700	22.68300	21.01000	19.32000	21.84000	21.25300	26.726	0.27848
4.647	3.62	21.29	20.99400	22.69000	21.01800	19.32400	21.84800	21.25900	27.200	0.27651
4.650	3.62	21.29	21.00000	22.69600	21.02500	19.32900	21.85500	21.26500	27.431	0.26583
4.652	3.62	21.30	21.00600	22.70300	21.03300	19.33400	21.86300	21.27100	27.937	0.25828
4.655	3.62	21.30	21.01200	22.70900	21.04100	19.33900	21.87000	21.27700	27.281	0.26079
4.657	3.62	21.31	21.01800	22.71600	21.04900	19.34300	21.87800	21.28300	26.685	0.25426
4.660	3.62	21.32	21.02500	22.72300	21.05700	19.34800	21.88500	21.29000	26.467	0.27585
4.665	3.63	21.33	21.03700	22.73600	21.07300	19.35700	21.90000	21.30200	25.075	0.28291
4.683	3.64	21.36	21.08100	22.78100	21.12800	19.39000	21.95200	21.34500	26.415	0.26981
4.685	3.64	21.37	21.08700	22.78800	21.13600	19.39500	21.95900	21.35100	28.353	0.26013
4.688	3.64	21.38	21.09300	22.79400	21.14400	19.39900	21.96700	21.35800	26.887	0.27719
4.690	3.64	21.38	21.10000	22.80100	21.15200	19.40400	21.97400	21.36400	27.488	0.26496
4.692	3.65	21.39	21.10600	22.80800	21.16000	19.40900	21.98200	21.37000	27.594	0.25800
4.695	3.65	21.39	21.11200	22.81400	21.16800	19.41300	21.98900	21.37600	27.896	0.26606
4.697	3.65	21.40	21.11800	22.82100	21.17600	19.41800	21.99700	21.38200	28.063	0.27093
4.700	3.65	21.40	21.12400	22.82700	21.18400	19.42300	22.00400	21.38800	27.243	0.26895
4.702	3.65	21.41	21.13100	22.83400	21.19200	19.42700	22.01200	21.39500	27.288	0.27003
4.705	3.65	21.41	21.13700	22.84000	21.20000	19.43200	22.01900	21.40100	26.917	0.25262
4.707	3.65	21.42	21.14300	22.84700	21.20700	19.43700	22.02600	21.40700	26.559	0.27633
4.710	3.66	21.43	21.14900	22.85400	21.21500	19.44100	22.03400	21.41300	26.064	0.30385
4.713	3.66	21.43	21.15500	22.86000	21.22300	19.44600	22.04100	21.41900	26.249	0.27827
4.715	3.66	21.44	21.16200	22.86700	21.23100	19.45100	22.04900	21.42500	25.740	0.27468
4.718	3.66	21.44	21.16800	22.87300	21.23900	19.45600	22.05600	21.43200	26.317	0.28036
4.720	3.66	21.45	21.17400	22.88000	21.24700	19.46000	22.06400	21.43800	25.939	0.26975
4.723	3.66	21.45	21.18100	22.88600	21.25500	19.46500	22.07100	21.44400	25.833	0.28046
4.725	3.67	21.46	21.18700	22.89300	21.26300	19.47000	22.07900	21.45000	25.498	0.27145
4.728	3.67	21.46	21.19300	22.90000	21.27100	19.47400	22.08600	21.45600	25.712	0.25807
4.730	3.67	21.47	21.19900	22.90600	21.27900	19.47900	22.09300	21.46200	26.701	0.25075
4.732	3.67	21.48	21.20600	22.91300	21.28700	19.48400	22.10100	21.46900	26.910	0.24986
4.735	3.67	21.48	21.21200	22.91900	21.29500	19.48800	22.10800	21.47500	26.673	0.26505
4.737	3.67	21.49	21.21800	22.92500	21.30200	19.49300	22.11600	21.48100	27.472	0.25279
4.740	3.67	21.49	21.22400	22.93200	21.31100	19.49800	22.12300	21.48700	28.373	0.25354
4.742	3.68	21.50	21.23000	22.93900	21.31800	19.50200	22.13100	21.49300	28.408	0.24452
4.745	3.68	21.50	21.23700	22.94500	21.32600	19.50700	22.13800	21.49900	27.716	0.25661
4.747	3.68	21.51	21.24300	22.95200	21.33400	19.51200	22.14600	21.50600	27.473	0.25804
4.750	3.68	21.52	21.24900	22.95800	21.34200	19.51600	22.15300	21.51200	27.533	0.27729
4.753	3.68	21.52	21.25500	22.96500	21.35000	19.52100	22.16000	21.51800	27.130	0.26384
4.755	3.68	21.53	21.26100	22.97100	21.35800	19.52600	22.16800	21.52400	28.157	0.25222
4.758	3.69	21.53	21.26800	22.97800	21.36600	19.53000	22.17500	21.53000	26.767	0.25171
4.760	3.69	21.54	21.27400	22.98500	21.37400	19.53500	22.18300	21.53600	26.369	0.27573
4.763	3.69	21.54	21.28000	22.99100	21.38100	19.54000	22.19000	21.54200	26.046	0.28135
4.765	3.69	21.55	21.28700	22.99800	21.39000	19.54400	22.19800	21.54900	25.140	0.27921
4.768	3.69	21.55	21.29300	23.00400	21.39700	19.54900	22.20500	21.55500	26.286	0.26989
4.770	3.69	21.56	21.29900	23.01100	21.40600	19.55400	22.21300	21.56100	27.397	0.26537
4.772	3.69	21.57	21.30500	23.01700	21.41300	19.55800	22.22000	21.56700	27.416	0.25975
4.775	3.70	21.57	21.31100	23.02400	21.42100	19.56300	22.22700	21.57300	26.481	0.27140
4.777	3.70	21.58	21.31800	23.03100	21.42900	19.56800	22.23500	21.58000	26.731	0.29176
4.780	3.70	21.58	21.32400	23.03700	21.43700	19.57300	22.24200	21.58600	26.801	0.26574
4.782	3.70	21.59	21.33000	23.04400	21.44500	19.57700	22.25000	21.59200	26.681	0.25336
4.785	3.70	21.59	21.33600	23.05000	21.45300	19.58200	22.25700	21.59800	27.050	0.24961
4.787	3.70	21.60	21.34300	23.05700	21.46100	19.58700	22.26500	21.60400	26.410	0.27272
4.790	3.71	21.60	21.34900	23.06300	21.46900	19.59100	22.27200	21.61000	26.099	0.26528
4.793	3.71	21.61	21.35500	23.07000	21.47600	19.59600	22.28000	21.61700	27.401	0.29741
4.795	3.71	21.62	21.36100	23.07600	21.48500	19.60100	22.28700	21.62300	26.921	0.26995
4.798	3.71	21.62	21.36700	23.08300	21.49200	19.60500	22.29400	21.62900	26.431	0.29398
4.800	3.71	21.63	21.37400	23.09000	21.50100	19.61000	22.30200	21.63500	27.201	0.26532
4.803	3.71	21.63	21.38000	23.09600	21.50800	19.61500	22.30900	21.64100	27.298	0.27774
4.805	3.71	21.64	21.38600	23.10200	21.51600	19.61900	22.31700	21.64700	27.034	0.28854
4.808	3.72	21.64	21.39300	23.10900	21.52400	19.62400	22.32400	21.65300	26.516	0.31501
4.810	3.72	21.65	21.39900	23.11600	21.53200	19.62900	22.33200	21.66000	26.189	0.28220
4.812	3.72	21.65	21.40500	23.12200	21.54000	19.63300	22.33900	21.66600	24.686	0.29294
4.815	3.72	21.66	21.41100	23.12900	21.54800	19.63800	22.34700	21.67200	25.703	0.27623
4.817	3.72	21.66	21.41700	23.13500	21.55600	19.64300	22.35400	21.67800	26.117	0.26971
4.820	3.72	21.67	21.42400	23.14200	21.56400	19.64700	22.36100	21.68400	25.687	0.26689
4.822	3.73	21.68	21.43000	23.14800	21.57100	19.65200	22.36900	21.69100	25.495	0.27700
4.825	3.73	21.68	21.43600	23.15500	21.58000	19.65700	22.37600	21.69700	26.504	0.24712
4.827	3.73	21.69	21.44200	23.16200	21.58700	19.66100	22.38400	21.70300	27.602	0.24112
4.830	3.73	21.69	21.44800	23.16800	21.59500	19.66600	22.39100	21.70900	27.637	0.26141
4.832	3.73	21.70	21.45500	23.17500	21.60300	19.67100	22.39900	21.71500	26.331	0.28409
4.835	3.73	21.70	21.46100	23.18100	21.61100	19.67500	22.40600	21.72100	27.598	0.27069
4.838	3.73	21.71	21.46700	23.18800	21.61900	19.68000	22.41400	21.72800	26.600	0.27908
4.840	3.74	21.71	21.47400	23.19400	21.62700	19.68500	22.42100	21.73400	26.586	0.26481
4.843	3.74	21.72	21.48000	23.20100	21.63500	19.69000	22.42800	21.74000	27.454	0.25677
4.845	3.74	21.73	21.48600	23.20700	21.64300	19.69400	22.43600	21.74600	25.745	0.26843
4.848	3.74	21.73	21.49200	23.21400	21.65100	19.69900	22.44300	21.75200	26.534	0.27551
4.850	3.74	21.74	21.49900	23.22100	21.65900	19.70400	22.45100	21.75800	26.133	0.26605
4.853	3.74	21.74	21.50500	23.22700	21.66600	19.70800	22.45800	21.76400	26.168	0.26254
4.855	3.75	21.75	21.51100	23.23400	21.67500	19.71300	22.46600	21.77100	26.794	0.25320
4.857	3.75	21.75	21.51700	23.24000	21.68200	19.71800	22.47300	21.77700	26.908	0.26006
4.860	3.75	21.76	21.52300	23.24700	21.69000	19.72200	22.48100	21.78300	26.428	0.26487
4.862	3.75	21.77	21.53000	23.25300	21.69800	19.72700	22.48800	21.78900	26.011	0.27644
4.865	3.75	21.77	21.53600	23.26000	21.70600	19.73200	22.49500	21.79500	25.976	0.28160
4.867	3.75	21.78	21.54200	23.26700	21.71400	19.73600	22.50300	21.80200	26.863	0.26129
4.870	3.75	21.78	21.54800	23.27300	21.72200	19.74100	22.51000	21.80800	26.737	0.25176
4.872	3.76	21.79	21.55400	23.27900	21.73000	19.74600	22.51800	21.81400	26.239	0.28584
4.875	3.76	21.79	21.56100	23.28600	21.73800	19.75000	22.52500	21.82000	25.659	0.28244
4.878	3.76	21.80	21.56700	23.29300	21.74600	19.75500	22.53300	21.82600	25.971	0.28319
4.880	3.76	21.80	21.57300	23.29900	21.75400	19.76000	22.54000	21.83200	26.414	0.27500
4.883	3.76	21.81	21.58000	23.30600	21.76200	19.76400	22.54800	21.83900	25.563	0.26376
4.885	3.76	21.82	21.58600	23.31200	21.76900	19.76900	22.55500	21.84500	26.264	0.27637
4.888	3.77	21.82	21.59200	23.31900	21.77700	19.77400	22.56200	21.85100	25.895	0.29546
4.890	3.77	21.83	21.59800	23.32500	21.78500	19.77800	22.57000	21.85700	24.949	0.27620
4.893	3.77	21.83	21.60500	23.33200	21.79300	19.78300	22.57700	21.86300	23.743	0.27434
4.895	3.77	21.84	21.61100	23.33800	21.80100	19.78800	22.58500	21.86900	26.470	0.28671
4.897	3.77	21.84	21.61700	23.34500	21.80900	19.79300	22.59200	21.87500	25.901	0.28310
4.900	3.77	21.85	21.62300	23.35200	21.81700	19.79700	22.60000	21.88200	25.829	0.26777
4.902	3.77	21.85	21.62900	23.35800	21.82500	19.80200	22.60700	21.88800	26.715	0.28901
4.905	3.78	21.86	21.63600	23.36500	21.83300	19.80700	22.61500	21.89400	26.356	0.28073
4.907	3.78	21.86	21.64200	23.37100	21.84100	19.81100	22.62200	21.90000	25.994	0.30983
4.910	3.78	21.87	21.64800	23.37800	21.84900	19.81600	22.62900	21.90600	25.879	0.29405
4.912	3.78	21.88	21.65400	23.38400	21.85700	19.82100	22.63700	21.91300	25.598	0.29183
4.915	3.78	21.88	21.66000	23.39100	21.86400	19.82500	22.64400	21.91900	26.574	0.27241
4.918	3.78	21.89	21.66700	23.39800	21.87200	19.83000	22.65200	21.92500	26.409	0.27835
4.920	3.79	21.89	21.67300	23.40400	21.88000	19.83500	22.65900	21.93100	26.396	0.26997
4.923	3.79	21.90	21.68000	23.41100	21.88800	19.83900	22.66700	21.93700	25.534	0.26978
4.925	3.79	21.90	21.68600	23.41700	21.89600	19.84400	22.67400	21.94300	25.481	0.26382
4.928	3.79	21.91	21.69200	23.42400	21.90400	19.84900	22.68200	21.94900	25.720	0.26349
4.930	3.79	21.92	21.69800	23.43000	21.91200	19.85300	22.68900	21.95600	25.792	0.25470
4.933	3.79	21.92	21.70400	23.43700	21.92000	19.85800	22.69600	21.96200	25.440	0.27645
4.935	3.79	21.93	21.71100	23.44400	21.92800	19.86300	22.70400	21.96800	26.287	0.27872
4.938	3.80	21.93	21.71700	23.45000	21.93600	19.86700	22.71100	21.97400	25.676	0.29607
4.940	3.80	21.94	21.72300	23.45600	21.94300	19.87200	22.71900	21.98000	25.868	0.30392
4.942	3.80	21.94	21.72900	23.46300	21.95200	19.87700	22.72600	21.98600	26.101	0.27489
