/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): XRF Ca/Ti and Zr/Sr ratios for the spliced stratigraphic section at IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951383, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.571402 * MEDIAN LONGITUDE: -10.126045 * SOUTH-BOUND LATITUDE: 37.571307 * WEST-BOUND LONGITUDE: -10.126180 * NORTH-BOUND LATITUDE: 37.571490 * EAST-BOUND LONGITUDE: -10.125932
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM ELEVATION: -2589.0 m * MAXIMUM ELEVATION: -2584.0 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	339-U1385A * LATITUDE: 37.571490 * LONGITUDE: -10.126180 * ELEVATION: -2587.0 m * Recovery: 155.87 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 151.5 m cored; 103 % recovered; 151.5 m penetrated
	339-U1385B * LATITUDE: 37.571487 * LONGITUDE: -10.125935 * ELEVATION: -2587.0 m * Recovery: 150.73 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 16 cores; 146.3 m cored; 103 % recovered; 146.3 m penetrated
	339-U1385D * LATITUDE: 37.571307 * LONGITUDE: -10.125932 * ELEVATION: -2584.0 m * Recovery: 153.95 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 16 cores; 146.4 m cored; 105 % recovered; 146.4 m penetrated
	339-U1385E * LATITUDE: 37.571308 * LONGITUDE: -10.126153 * ELEVATION: -2589.0 m * Recovery: 151.32 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 148.7 m cored; 102 % recovered; 148.7 m penetrated
Parameter(s):	Event label (Event) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	Calcium/Titanium ratio (Ca/Ti) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
	Zirconium/Strontium ratio (Zr/Sr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	68035 data points
*/
Event	Sample label (DSDP/ODP/IODP sample designation)	Depth corr cr [crmcd]	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Ca/Ti (X-ray fluorescence Avaatech c...)	Zr/Sr (X-ray fluorescence Avaatech c...)
339-U1385A	339-U1385A-3H-5,1090	17.9600	97.13900	99.92600	99.92600	99.73	41.4810	0.215960
339-U1385A	339-U1385A-3H-5,1100	17.9700	97.21200	100.01000	100.01000	99.83	36.5400	0.227310
339-U1385A	339-U1385A-3H-5,1110	17.9800	97.28400	100.09000	100.09000	99.92	37.9630	0.229900
339-U1385A	339-U1385A-3H-5,1120	17.9900	97.35700	100.15000	100.15000	100.02	37.8690	0.227770
339-U1385A	339-U1385A-3H-5,1130	18.0000	97.42900	100.21000	100.22000	100.12	37.8480	0.222340
339-U1385A	339-U1385A-3H-5,1140	18.0100	97.50200	100.27000	100.28000	100.22	43.7560	0.197440
339-U1385A	339-U1385A-3H-5,1150	18.0200	97.57500	100.33000	100.35000	100.32	38.9770	0.207500
339-U1385A	339-U1385A-3H-5,1160	18.0300	97.64700	100.39000	100.41000	100.41	40.1900	0.224540
339-U1385A	339-U1385A-3H-5,1170	18.0400	97.72000	100.45000	100.48000	100.51	41.8900	0.208600
339-U1385A	339-U1385A-3H-5,1180	18.0500	97.79200	100.51000	100.54000	100.61	40.2870	0.207580
339-U1385A	339-U1385A-3H-5,1190	18.0600	97.86500	100.57000	100.61000	100.71	40.8360	0.210950
339-U1385A	339-U1385A-3H-5,1200	18.0700	97.93700	100.63000	100.67000	100.80	41.7470	0.219590
339-U1385A	339-U1385A-3H-5,1210	18.0800	98.01000	100.68000	100.74000	100.90	40.1270	0.212480
339-U1385A	339-U1385A-3H-5,1220	18.0900	98.08300	100.74000	100.80000	101.00	40.8920	0.220810
339-U1385A	339-U1385A-3H-5,1230	18.1000	98.15500	100.80000	100.87000	101.10	42.4580	0.209370
339-U1385A	339-U1385A-3H-5,1240	18.1100	98.22800	100.86000	100.93000	101.19	40.6680	0.210040
339-U1385A	339-U1385A-3H-5,1250	18.1200	98.30000	100.92000	101.00000	101.29	40.6140	0.216060
339-U1385A	339-U1385A-3H-5,1250	18.1200	98.30000	100.92000	101.00000	101.29	40.6140	0.216060
339-U1385A	339-U1385A-3H-5,1250	18.1200	98.30000	100.92000	101.00000	101.29	40.6140	0.216060
339-U1385A	339-U1385A-3H-5,1260	18.1300	98.37300	100.98000	101.06000	101.39	41.0640	0.212540
339-U1385A	339-U1385A-3H-5,1270	18.1400	98.44500	101.04000	101.13000	101.49	39.2760	0.220320
339-U1385A	339-U1385A-3H-5,1280	18.1500	98.51800	101.10000	101.19000	101.58	42.8290	0.214620
339-U1385A	339-U1385A-3H-5,1290	18.1600	98.59100	101.16000	101.26000	101.68	40.2100	0.215750
339-U1385A	339-U1385A-3H-5,1300	18.1700	98.66300	101.22000	101.32000	101.78	38.9660	0.215400
339-U1385A	339-U1385A-3H-5,1310	18.1800	98.73600	101.28000	101.38000	101.88	40.2780	0.223620
339-U1385A	339-U1385A-3H-5,1320	18.1900	98.80800	101.34000	101.45000	101.97	38.0470	0.220020
339-U1385A	339-U1385A-3H-5,1330	18.2000	98.88100	101.40000	101.51000	102.07	38.8160	0.213140
339-U1385A	339-U1385A-3H-5,1340	18.2100	98.95300	101.46000	101.58000	102.17	38.7560	0.232620
339-U1385A	339-U1385A-3H-5,1350	18.2200	99.02600	101.52000	101.64000	102.27	39.4570	0.231720
339-U1385A	339-U1385A-3H-5,1360	18.2300	99.09900	101.58000	101.71000	102.36	39.6900	0.227060
339-U1385A	339-U1385A-3H-5,1370	18.2400	99.17100	101.64000	101.77000	102.46	39.8910	0.210850
339-U1385A	339-U1385A-3H-5,1380	18.2500	99.24400	101.70000	101.84000	102.56	37.5600	0.218000
339-U1385A	339-U1385A-3H-5,1390	18.2600	99.31600	101.76000	101.90000	102.66	38.0070	0.219060
339-U1385A	339-U1385A-3H-5,1400	18.2700	99.38900	101.81000	101.97000	102.75	39.7040	0.218580
339-U1385A	339-U1385A-3H-5,1410	18.2800	99.46100	101.87000	102.03000	102.85	40.1890	0.211330
339-U1385A	339-U1385A-3H-5,1420	18.2900	99.53400	101.93000	102.10000	102.95	38.6810	0.207770
339-U1385A	339-U1385A-3H-5,1430	18.3000	99.60600	101.99000	102.16000	103.05	39.2290	0.217180
339-U1385A	339-U1385A-3H-5,1440	18.3100	99.67900	102.05000	102.23000	103.14	38.3190	0.212120
339-U1385A	339-U1385A-3H-5,1450	18.3200	99.75200	102.11000	102.29000	103.24	39.6000	0.208200
339-U1385A	339-U1385A-3H-5,1460	18.3300	99.82400	102.17000	102.36000	103.34	39.7040	0.201540
339-U1385A	339-U1385A-3H-5,1470	18.3400	99.89700	102.23000	102.42000	103.44	36.2630	0.219410
339-U1385A	339-U1385A-3H-5,1480	18.3500	99.96900	102.29000	102.48000	103.54	39.8810	0.219340
339-U1385A	339-U1385A-3H-5,1490	18.3600	100.04000	102.35000	102.55000	103.63	40.2270	0.203180
339-U1385A	339-U1385A-3H-6,20	18.3900	100.26000	102.53000	102.74000	103.93	38.3370	0.208290
339-U1385A	339-U1385A-3H-6,40	18.4100	100.40000	102.65000	102.87000	104.12	39.6250	0.199280
339-U1385A	339-U1385A-3H-6,50	18.4200	100.48000	102.71000	102.94000	104.22	39.2710	0.210390
339-U1385A	339-U1385A-3H-6,60	18.4300	100.55000	102.77000	103.00000	104.32	39.0420	0.211160
339-U1385A	339-U1385A-3H-6,70	18.4400	100.62000	102.83000	103.07000	104.41	42.1340	0.191150
339-U1385A	339-U1385A-3H-6,80	18.4500	100.70000	102.88000	103.13000	104.51	39.2730	0.200410
339-U1385A	339-U1385A-3H-6,90	18.4600	100.77000	102.94000	103.20000	104.61	40.7140	0.207320
339-U1385A	339-U1385A-3H-6,100	18.4700	100.84000	103.00000	103.26000	104.71	40.8340	0.196600
339-U1385A	339-U1385A-3H-6,110	18.4800	100.91000	103.06000	103.33000	104.80	41.5080	0.202550
339-U1385A	339-U1385A-3H-6,120	18.4900	100.99000	103.12000	103.39000	104.90	41.3170	0.194140
339-U1385A	339-U1385A-3H-6,130	18.5000	101.06000	103.18000	103.46000	105.00	41.1900	0.197650
339-U1385A	339-U1385A-3H-6,140	18.5100	101.13000	103.24000	103.52000	105.10	41.5530	0.193510
339-U1385A	339-U1385A-3H-6,150	18.5200	101.20000	103.30000	103.59000	105.19	37.9510	0.206840
339-U1385A	339-U1385A-3H-6,160	18.5300	101.28000	103.36000	103.65000	105.29	36.0450	0.213170
339-U1385A	339-U1385A-3H-6,170	18.5400	101.35000	103.42000	103.71000	105.39	36.5520	0.207460
339-U1385A	339-U1385A-3H-6,180	18.5500	101.42000	103.48000	103.78000	105.49	36.0650	0.199910
339-U1385A	339-U1385A-3H-6,190	18.5600	101.49000	103.54000	103.84000	105.58	36.3200	0.206430
339-U1385A	339-U1385A-3H-6,200	18.5700	101.57000	103.60000	103.91000	105.68	36.5890	0.207290
339-U1385A	339-U1385A-3H-6,210	18.5800	101.64000	103.66000	103.97000	105.78	36.1500	0.208320
339-U1385A	339-U1385A-3H-6,220	18.5900	101.71000	103.72000	104.04000	105.88	37.9390	0.183130
339-U1385A	339-U1385A-3H-6,230	18.6000	101.78000	103.78000	104.10000	105.97	37.4540	0.193970
339-U1385A	339-U1385A-3H-6,240	18.6100	101.86000	103.84000	104.17000	106.07	37.4670	0.183410
339-U1385A	339-U1385A-3H-6,260	18.6300	102.00000	103.96000	104.30000	106.27	35.5740	0.206040
339-U1385A	339-U1385A-3H-6,270	18.6400	102.07000	104.01000	104.36000	106.36	37.7960	0.191500
339-U1385A	339-U1385A-3H-6,280	18.6500	102.15000	104.07000	104.43000	106.46	37.2670	0.189380
339-U1385A	339-U1385A-3H-6,290	18.6600	102.22000	104.13000	104.49000	106.56	39.9890	0.177880
339-U1385A	339-U1385A-3H-6,300	18.6700	102.29000	104.19000	104.56000	106.67	42.5850	0.177100
339-U1385A	339-U1385A-3H-6,310	18.6800	102.36000	104.25000	104.62000	106.79	40.2850	0.186420
339-U1385A	339-U1385A-3H-6,320	18.6900	102.44000	104.31000	104.69000	106.90	37.0260	0.192760
339-U1385A	339-U1385A-3H-6,330	18.7000	102.51000	104.37000	104.75000	107.01	34.7810	0.194850
339-U1385A	339-U1385A-3H-6,340	18.7100	102.58000	104.43000	104.82000	107.13	37.0280	0.195430
339-U1385A	339-U1385A-3H-6,350	18.7200	102.65000	104.49000	104.88000	107.24	39.7850	0.186050
339-U1385A	339-U1385A-3H-6,360	18.7300	102.73000	104.55000	104.94000	107.35	39.3460	0.181520
339-U1385A	339-U1385A-3H-6,370	18.7400	102.80000	104.61000	105.01000	107.46	36.6970	0.190150
339-U1385A	339-U1385A-3H-6,380	18.7500	102.87000	104.67000	105.07000	107.58	34.5810	0.205700
339-U1385A	339-U1385A-3H-6,390	18.7600	102.94000	104.73000	105.14000	107.69	34.0240	0.200240
339-U1385A	339-U1385A-3H-6,400	18.7700	103.02000	104.79000	105.20000	107.80	38.6640	0.184950
339-U1385A	339-U1385A-3H-6,410	18.7800	103.09000	104.85000	105.27000	107.92	35.8800	0.193920
339-U1385A	339-U1385A-3H-6,420	18.7900	103.16000	104.91000	105.33000	108.03	36.1590	0.193650
339-U1385A	339-U1385A-3H-6,430	18.8000	103.23000	104.97000	105.40000	108.14	28.4160	0.239630
339-U1385A	339-U1385A-3H-6,440	18.8100	103.31000	105.03000	105.46000	108.26	25.7320	0.264620
339-U1385A	339-U1385A-3H-6,450	18.8200	103.38000	105.09000	105.53000	108.37	34.3860	0.200940
339-U1385A	339-U1385A-3H-6,460	18.8300	103.47000	105.14000	105.59000	108.48	22.3040	0.287470
339-U1385A	339-U1385A-3H-6,470	18.8400	103.57000	105.20000	105.66000	108.59	22.1590	0.273800
339-U1385A	339-U1385A-3H-6,480	18.8500	103.67000	105.26000	105.72000	108.71	19.5720	0.326050
339-U1385A	339-U1385A-3H-6,490	18.8600	103.76000	105.32000	105.79000	108.82	20.0260	0.331460
339-U1385A	339-U1385A-3H-6,500	18.8700	103.86000	105.38000	105.85000	108.93	19.7890	0.341670
339-U1385A	339-U1385A-3H-6,500	18.8700	103.86000	105.38000	105.85000	108.93	19.7890	0.341670
339-U1385A	339-U1385A-3H-6,500	18.8700	103.86000	105.38000	105.85000	108.93	19.7890	0.341670
339-U1385A	339-U1385A-3H-6,510	18.8800	103.95000	105.44000	105.92000	109.05	21.0750	0.308150
339-U1385A	339-U1385A-3H-6,520	18.8900	104.04000	105.50000	105.98000	109.16	18.9060	0.341200
339-U1385A	339-U1385A-3H-6,530	18.9000	104.14000	105.56000	106.04000	109.27	16.5980	0.379140
339-U1385A	339-U1385A-3H-6,540	18.9100	104.24000	105.62000	106.11000	109.39	17.2780	0.370430
339-U1385A	339-U1385A-3H-6,550	18.9200	104.33000	105.68000	106.17000	109.50	18.2950	0.362380
339-U1385A	339-U1385A-3H-6,560	18.9300	104.43000	105.74000	106.24000	109.61	18.7720	0.344780
339-U1385A	339-U1385A-3H-6,570	18.9400	104.52000	105.80000	106.30000	109.72	18.1430	0.368540
339-U1385A	339-U1385A-3H-6,580	18.9500	104.62000	105.86000	106.37000	109.84	17.9620	0.363280
339-U1385A	339-U1385A-3H-6,590	18.9600	104.71000	105.92000	106.43000	109.95	16.1840	0.406280
339-U1385A	339-U1385A-3H-6,600	18.9700	104.80000	105.98000	106.50000	110.06	16.4900	0.401460
339-U1385A	339-U1385A-3H-6,610	18.9800	104.90000	106.04000	106.56000	110.18	16.5080	0.382990
339-U1385A	339-U1385A-3H-6,620	18.9900	104.99000	106.10000	106.63000	110.29	17.6900	0.370750
339-U1385A	339-U1385A-3H-6,630	19.0000	105.09000	106.16000	106.69000	110.40	17.7980	0.367080
339-U1385A	339-U1385A-3H-6,640	19.0100	105.18000	106.21000	106.76000	110.52	16.5570	0.384550
339-U1385A	339-U1385A-3H-6,650	19.0200	105.28000	106.27000	106.82000	110.63	18.5580	0.360710
339-U1385A	339-U1385A-3H-6,660	19.0300	105.38000	106.33000	106.89000	110.74	18.8600	0.355480
339-U1385A	339-U1385A-3H-6,670	19.0400	105.47000	106.39000	106.95000	110.85	19.0070	0.339300
339-U1385A	339-U1385A-3H-6,680	19.0500	105.56000	106.45000	107.02000	110.97	23.6070	0.297870
339-U1385A	339-U1385A-3H-6,700	19.0700	105.75000	106.57000	107.15000	111.19	22.8840	0.277780
339-U1385A	339-U1385A-3H-6,710	19.0800	105.85000	106.63000	107.21000	111.31	23.5970	0.260050
339-U1385A	339-U1385A-3H-6,720	19.0900	105.94000	106.69000	107.27000	111.42	22.2960	0.310730
339-U1385A	339-U1385A-3H-6,730	19.1000	106.04000	106.75000	107.34000	111.53	29.4440	0.227980
339-U1385A	339-U1385A-3H-6,740	19.1100	106.13000	106.81000	107.40000	111.65	27.1880	0.248330
339-U1385A	339-U1385A-3H-6,750	19.1200	106.21000	106.87000	107.47000	111.76	33.5190	0.202220
339-U1385A	339-U1385A-3H-6,750	19.1200	106.21000	106.87000	107.47000	111.76	33.5190	0.202220
339-U1385A	339-U1385A-3H-6,750	19.1200	106.21000	106.87000	107.47000	111.76	33.5190	0.202220
339-U1385A	339-U1385A-3H-6,760	19.1300	106.30000	106.93000	107.53000	111.87	35.1610	0.187610
339-U1385A	339-U1385A-3H-6,770	19.1400	106.39000	106.99000	107.60000	111.99	34.1310	0.196710
339-U1385A	339-U1385A-3H-6,780	19.1500	106.47000	107.05000	107.66000	112.10	32.7660	0.209650
339-U1385A	339-U1385A-3H-6,790	19.1600	106.56000	107.11000	107.73000	112.21	33.2750	0.209360
339-U1385A	339-U1385A-3H-6,800	19.1700	106.64000	107.17000	107.79000	112.32	33.7480	0.198090
339-U1385A	339-U1385A-3H-6,810	19.1800	106.73000	107.23000	107.86000	112.44	33.8830	0.214820
339-U1385A	339-U1385A-3H-6,820	19.1900	106.82000	107.29000	107.92000	112.55	33.8210	0.206200
339-U1385A	339-U1385A-3H-6,830	19.2000	106.90000	107.34000	107.99000	112.66	32.2140	0.198770
339-U1385A	339-U1385A-3H-6,840	19.2100	106.99000	107.40000	108.05000	112.78	34.9330	0.192440
339-U1385A	339-U1385A-3H-6,850	19.2200	107.08000	107.46000	108.12000	112.89	36.4190	0.193440
339-U1385A	339-U1385A-3H-6,860	19.2300	107.16000	107.52000	108.18000	113.00	37.0700	0.193120
339-U1385A	339-U1385A-3H-6,870	19.2400	107.25000	107.58000	108.25000	113.12	36.3370	0.193760
339-U1385A	339-U1385A-3H-6,880	19.2500	107.34000	107.64000	108.31000	113.23	34.3850	0.201800
339-U1385A	339-U1385A-3H-6,890	19.2600	107.42000	107.70000	108.38000	113.34	31.9890	0.215780
339-U1385A	339-U1385A-3H-6,900	19.2700	107.51000	107.76000	108.44000	113.45	33.1100	0.216450
339-U1385A	339-U1385A-3H-6,910	19.2800	107.60000	107.82000	108.50000	113.57	32.9870	0.204790
339-U1385A	339-U1385A-3H-6,920	19.2900	107.68000	107.88000	108.57000	113.68	32.4710	0.211570
339-U1385A	339-U1385A-3H-6,930	19.3000	107.77000	107.94000	108.63000	113.79	31.1100	0.214700
339-U1385A	339-U1385A-3H-6,940	19.3100	107.85000	108.00000	108.70000	113.91	29.4770	0.228090
339-U1385A	339-U1385A-3H-6,950	19.3200	107.94000	108.06000	108.76000	114.02	30.1610	0.225870
339-U1385A	339-U1385A-3H-6,960	19.3300	108.03000	108.12000	108.83000	114.13	32.8660	0.204140
339-U1385A	339-U1385A-3H-6,970	19.3400	108.11000	108.18000	108.89000	114.25	32.1540	0.201900
339-U1385A	339-U1385A-3H-6,980	19.3500	108.20000	108.24000	108.96000	114.36	29.7090	0.220260
339-U1385A	339-U1385A-3H-6,990	19.3600	108.29000	108.30000	109.02000	114.47	30.0620	0.233570
339-U1385A	339-U1385A-3H-6,1000	19.3700	108.37000	108.36000	109.09000	114.58	31.6470	0.210620
339-U1385A	339-U1385A-3H-6,1000	19.3700	108.37000	108.36000	109.09000	114.58	31.6470	0.210620
339-U1385A	339-U1385A-3H-6,1000	19.3700	108.37000	108.36000	109.09000	114.58	31.6470	0.210620
339-U1385A	339-U1385A-3H-6,1010	19.3800	108.46000	108.42000	109.15000	114.70	27.7770	0.239770
339-U1385A	339-U1385A-3H-6,1020	19.3900	108.55000	108.47000	109.22000	114.81	27.5890	0.242890
339-U1385A	339-U1385A-3H-6,1030	19.4000	108.63000	108.53000	109.28000	114.92	28.7950	0.242250
339-U1385A	339-U1385A-3H-6,1040	19.4100	108.72000	108.59000	109.35000	115.04	28.6800	0.233340
339-U1385A	339-U1385A-3H-6,1050	19.4200	108.81000	108.65000	109.41000	115.15	28.1480	0.225440
339-U1385A	339-U1385A-3H-6,1060	19.4300	108.89000	108.71000	109.48000	115.26	25.1210	0.250920
339-U1385A	339-U1385A-3H-6,1070	19.4400	108.98000	108.77000	109.54000	115.38	27.6340	0.243730
339-U1385A	339-U1385A-3H-6,1080	19.4500	109.07000	108.83000	109.61000	115.49	25.8190	0.252680
339-U1385A	339-U1385A-3H-6,1090	19.4600	109.15000	108.89000	109.67000	115.60	26.1460	0.253410
339-U1385A	339-U1385A-3H-6,1100	19.4700	109.24000	108.95000	109.73000	115.71	28.3280	0.236510
339-U1385A	339-U1385A-3H-6,1110	19.4800	109.32000	109.01000	109.80000	115.83	27.0480	0.252030
339-U1385A	339-U1385A-3H-6,1120	19.4900	109.41000	109.07000	109.86000	115.94	22.2000	0.278400
339-U1385A	339-U1385A-3H-6,1130	19.5000	109.50000	109.13000	109.93000	116.05	21.1620	0.292970
339-U1385A	339-U1385A-3H-6,1140	19.5100	109.58000	109.19000	109.99000	116.17	21.7020	0.305170
339-U1385A	339-U1385A-3H-6,1150	19.5200	109.67000	109.25000	110.06000	116.28	19.6380	0.330020
339-U1385A	339-U1385A-3H-6,1160	19.5300	109.71000	109.31000	110.12000	116.34	19.9650	0.325570
339-U1385A	339-U1385A-3H-6,1170	19.5400	109.74000	109.37000	110.19000	116.39	23.4650	0.262430
339-U1385A	339-U1385A-3H-6,1180	19.5500	109.78000	109.43000	110.25000	116.45	20.0090	0.331040
339-U1385A	339-U1385A-3H-6,1190	19.5600	109.82000	109.49000	110.32000	116.50	18.0150	0.374310
339-U1385A	339-U1385A-3H-6,1200	19.5700	109.85000	109.55000	110.38000	116.56	17.4090	0.408440
339-U1385A	339-U1385A-3H-6,1210	19.5800	109.89000	109.60000	110.45000	116.62	18.1980	0.370780
339-U1385E	339-U1385E-3H-4,270	19.5800	109.89000	109.60000	110.45000	116.62	16.2380	0.457510
339-U1385E	339-U1385E-3H-4,280	19.5900	109.93000	109.66000	110.51000	116.67	17.0360	0.437490
339-U1385E	339-U1385E-3H-4,290	19.6000	109.96000	109.72000	110.58000	116.73	17.3070	0.406500
339-U1385E	339-U1385E-3H-4,300	19.6100	110.00000	109.78000	110.64000	116.78	16.9950	0.410880
339-U1385E	339-U1385E-3H-4,310	19.6200	110.08000	109.84000	110.71000	116.84	19.2050	0.366180
339-U1385E	339-U1385E-3H-4,320	19.6300	110.15000	109.90000	110.77000	116.90	21.0280	0.353300
339-U1385E	339-U1385E-3H-4,330	19.6400	110.23000	109.96000	110.83000	116.95	21.1400	0.305680
339-U1385E	339-U1385E-3H-4,340	19.6500	110.31000	110.02000	110.90000	117.01	19.9940	0.351560
339-U1385E	339-U1385E-3H-4,350	19.6600	110.39000	110.08000	110.96000	117.06	20.6590	0.359560
339-U1385E	339-U1385E-3H-4,360	19.6700	110.46000	110.14000	111.03000	117.12	26.1770	0.258960
339-U1385E	339-U1385E-3H-4,370	19.6800	110.54000	110.20000	111.09000	117.18	26.2900	0.240020
339-U1385E	339-U1385E-3H-4,380	19.6900	110.62000	110.26000	111.16000	117.23	29.5520	0.197510
339-U1385E	339-U1385E-3H-4,390	19.7000	110.70000	110.32000	111.22000	117.29	29.0490	0.236660
339-U1385E	339-U1385E-3H-4,400	19.7100	110.77000	110.38000	111.29000	117.34	30.1360	0.201780
339-U1385E	339-U1385E-3H-4,410	19.7200	110.85000	110.44000	111.35000	117.40	30.4040	0.216410
339-U1385E	339-U1385E-3H-4,420	19.7300	110.93000	110.50000	111.42000	117.46	29.6440	0.215360
339-U1385E	339-U1385E-3H-4,430	19.7400	111.01000	110.56000	111.48000	117.51	30.9970	0.203900
339-U1385E	339-U1385E-3H-4,440	19.7500	111.08000	110.62000	111.55000	117.57	31.3110	0.210960
339-U1385E	339-U1385E-3H-4,450	19.7600	111.16000	110.67000	111.61000	117.62	30.4080	0.214210
339-U1385E	339-U1385E-3H-4,460	19.7700	111.24000	110.73000	111.68000	117.68	30.4660	0.222280
339-U1385E	339-U1385E-3H-4,470	19.7800	111.32000	110.79000	111.74000	117.74	33.3370	0.211250
339-U1385E	339-U1385E-3H-4,480	19.7900	111.40000	110.85000	111.81000	117.79	33.0510	0.187610
339-U1385E	339-U1385E-3H-4,490	19.8000	111.47000	110.91000	111.87000	117.85	32.7050	0.206820
339-U1385E	339-U1385E-3H-4,500	19.8100	111.55000	110.97000	111.94000	117.90	33.4410	0.193840
339-U1385E	339-U1385E-3H-4,500	19.8100	111.55000	110.97000	111.94000	117.90	33.4410	0.193840
339-U1385E	339-U1385E-3H-4,500	19.8100	111.55000	110.97000	111.94000	117.90	33.4410	0.193840
339-U1385E	339-U1385E-3H-4,510	19.8200	111.63000	111.03000	112.00000	117.96	33.6460	0.203860
339-U1385E	339-U1385E-3H-4,520	19.8300	111.70000	111.09000	112.07000	118.02	31.8900	0.204440
339-U1385E	339-U1385E-3H-4,530	19.8400	111.78000	111.15000	112.14000	118.07	32.0610	0.203450
