/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for the planktonic foraminifera Globigerina bulloides of sediment core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951397, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 26.880 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	26013 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	G. bulloides δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	G. bulloides δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
	37.11	265.26	263.87000	263.87000	265.26000	260.85000	262.63000		1.78	-1.31
	37.12	265.35	263.95000	263.95000	265.35000	260.94000	262.71000		1.56	-1.47
	37.13	265.39	263.99000	263.99000	265.39000	260.99000	262.74000		1.56	-1.46
	37.14	265.49	264.08000	264.08000	265.49000	261.09000	262.82000		1.68	-1.38
	37.15	265.53	264.11000	264.11000	265.53000	261.13000	262.85000		1.60	-1.37
	37.16	265.62	264.20000	264.20000	265.62000	261.23000	262.92000		1.68	-1.34
	37.17	265.66	264.23000	264.23000	265.66000	261.27000	262.95000		1.60	-1.77
	37.18	265.76	264.32000	264.32000	265.76000	261.37000	263.03000		1.58	-1.27
	37.19	265.80	264.35000	264.35000	265.80000	261.41000	263.06000		1.57	-1.42
	37.20	265.93	264.47000	264.47000	265.93000	261.55000	263.16000		2.21	-1.14
	37.23	266.06	264.59000	264.59000	266.06000	261.69000	263.27000		2.11	-1.17
	37.24	266.19	264.71000	264.71000	266.19000	261.83000	263.38000		2.20	-1.32
	37.27	266.33	264.83000	264.83000	266.33000	261.97000	263.48000		2.24	-1.17
	37.28	266.46	264.94000	264.94000	266.46000	262.11000	263.59000		2.06	-1.38
	37.30	266.59	265.07000	265.07000	266.59000	262.25000	263.69000		1.97	-1.28
	37.32	266.73	265.19000	265.19000	266.73000	262.39000	263.80000		1.84	-1.09
	37.34	266.86	265.31000	265.31000	266.86000	262.53000	263.91000		1.76	-1.45
	37.36	267.00	265.43000	265.43000	267.00000	262.68000	264.01000		2.14	-1.24
	37.38	267.13	265.54000	265.54000	267.13000	262.81000	264.11000		1.43	-1.55
	37.40	267.26	265.66000	265.66000	267.26000	262.95000	264.22000		1.51	-1.25
	37.42	267.40	265.78000	265.78000	267.40000	263.10000	264.33000		1.75	-2.15
	37.44	267.53	265.90000	265.90000	267.53000	263.24000	264.43000		1.38	-1.65
	37.46	267.66	266.02000	266.02000	267.66000	263.37000	264.54000		1.46	-1.33
	37.48	267.79	266.14000	266.14000	267.79000	263.51000	264.64000		1.56	-1.50
	37.50	267.93	266.26000	266.26000	267.93000	263.66000	264.75000		1.23	-1.87
	37.52	268.06	266.38000	266.38000	268.06000	263.80000	264.86000		1.58	-1.57
	37.54	268.19	266.50000	266.50000	268.19000	263.93000	264.96000		1.36	-1.53
	37.56	268.33	266.62000	266.62000	268.33000	264.08000	265.06000		1.40	-1.32
	37.58	268.46	266.74000	266.74000	268.46000	264.22000	265.17000		1.14	-1.75
	37.60	268.60	266.86000	266.86000	268.60000	264.37000	265.28000		1.29	-1.69
	37.62	268.73	266.98000	266.98000	268.73000	264.52000	265.38000		1.40	-1.60
	37.64	268.86	267.09000	267.09000	268.86000	264.66000	265.49000		1.17	-1.77
	37.66	268.99	267.21000	267.21000	268.99000	264.81000	265.59000		0.87	-1.78
	37.68	269.13	267.34000	267.34000	269.13000	264.96000	265.70000		1.03	-1.51
	37.70	269.26	267.46000	267.46000	269.26000	265.11000	265.81000		1.41	-1.69
	37.72	269.40	267.58000	267.58000	269.40000	265.26000	265.91000		1.89	-1.72
	37.74	269.53	267.70000	267.70000	269.53000	265.41000	266.02000		1.71	-1.64
	37.76	269.67	267.82000	267.82000	269.67000	265.56000	266.13000		2.02	-1.57
	37.78	269.80	267.94000	267.94000	269.80000	265.71000	266.23000		2.07	-1.61
	37.80	269.94	268.06000	268.06000	269.94000	265.86000	266.36000		1.71	-1.85
	37.82	270.07	268.18000	268.18000	270.07000	266.01000	266.54000		2.21	-1.52
	37.84	270.21	268.30000	268.30000	270.21000	266.16000	266.71000		2.25	-1.63
	37.86	270.34	268.42000	268.42000	270.34000	266.30000	266.88000		2.48	-1.43
	37.88	270.48	268.54000	268.54000	270.48000	266.45000	267.05000		2.36	-1.56
	37.90	270.61	268.66000	268.66000	270.61000	266.60000	267.22000		2.07	-1.75
	37.92	270.75	268.78000	268.78000	270.75000	266.75000	267.39000		2.30	-1.46
	37.94	270.88	268.90000	268.90000	270.88000	266.90000	267.56000		2.25	-1.63
	37.96	271.02	269.03000	269.03000	271.02000	267.05000	267.73000		2.39	-1.53
	37.98	271.15	269.15000	269.15000	271.15000	267.20000	267.90000		2.51	-1.45
	38.00	271.29	269.27000	269.27000	271.29000	267.35000	268.07000		2.46	-1.39
	38.02	271.42	269.39000	269.39000	271.42000	267.50000	268.24000		2.39	-1.38
	38.04	271.56	269.51000	269.51000	271.56000	267.65000	268.41000		2.31	-1.46
	38.06	271.69	269.63000	269.63000	271.69000	267.80000	268.58000		2.28	-1.47
	38.08	271.83	269.75000	269.75000	271.83000	267.95000	268.75000		2.43	-1.45
	38.10	271.96	269.87000	269.87000	271.96000	268.10000	268.92000		2.35	-1.48
	38.12	272.10	269.99000	269.99000	272.10000	268.25000	269.09000		2.35	-1.37
	38.14	272.23	270.11000	270.11000	272.23000	268.40000	269.26000		2.51	-1.33
	38.16	272.37	270.23000	270.23000	272.37000	268.55000	269.43000		2.62	-1.36
	38.18	272.50	270.35000	270.35000	272.50000	268.70000	269.60000		2.25	-1.43
	38.20	272.64	270.47000	270.47000	272.64000	268.85000	269.77000		2.38	-1.56
	38.22	272.77	270.59000	270.59000	272.77000	269.00000	269.94000		2.23	-1.65
	38.24	272.91	270.72000	270.72000	272.91000	269.15000	270.11000		2.58	-1.55
	38.26	273.04	270.84000	270.84000	273.04000	269.30000	270.29000		2.49	-1.59
	38.28	273.18	270.96000	270.96000	273.18000	269.45000	270.46000		2.71	-1.45
	38.30	273.31	271.08000	271.08000	273.31000	269.60000	270.63000		2.60	-1.53
	38.32	273.45	271.20000	271.20000	273.45000	269.75000	270.80000		2.56	-1.63
	38.36	273.72	271.44000	271.44000	273.72000	270.05000	271.14000		2.55	-1.50
	38.42	274.12	271.80000	271.80000	274.12000	270.49000	271.65000		2.81	-1.39
	38.44	274.25	271.92000	271.92000	274.25000	270.64000	271.82000		2.78	-1.19
	38.46	274.39	272.04000	272.04000	274.39000	270.79000	271.99000		2.81	-1.25
	38.48	274.52	272.16000	272.16000	274.52000	270.94000	272.16000		2.64	-1.29
	38.50	274.66	272.29000	272.29000	274.66000	271.09000	272.33000		2.73	-1.22
	38.52	274.79	272.41000	272.41000	274.79000	271.24000	272.50000		2.49	-1.35
	38.54	274.93	272.53000	272.53000	274.93000	271.39000	272.67000		2.55	-1.44
	38.56	275.06	272.65000	272.65000	275.06000	271.54000	272.84000		2.27	-1.37
	38.58	275.20	272.77000	272.77000	275.20000	271.69000	273.01000		2.35	-1.51
	38.60	275.33	272.89000	272.89000	275.33000	271.84000	273.18000		2.03	-1.70
	38.62	275.47	273.01000	273.01000	275.47000	271.99000	273.35000		1.91	-1.74
	38.64	275.60	273.13000	273.13000	275.60000	272.14000	273.52000		2.17	-1.32
	38.66	275.74	273.25000	273.25000	275.74000	272.29000	273.69000		2.06	-1.61
	38.68	275.87	273.37000	273.37000	275.87000	272.50000	273.86000		2.09	-1.59
	38.70	276.01	273.49000	273.49000	276.01000	272.72000	274.04000		2.12	-1.50
	38.72	276.14	273.61000	273.61000	276.14000	272.93000	274.21000		2.02	-1.41
	38.74	276.28	273.73000	273.73000	276.28000	273.14000	274.38000		1.80	-1.51
	38.76	276.41	273.85000	273.85000	276.41000	273.36000	274.55000		2.18	-1.46
	38.78	276.55	273.98000	273.98000	276.55000	273.57000	274.72000		2.28	-1.37
	38.80	276.68	274.10000	274.10000	276.68000	273.79000	274.89000		2.29	-1.31
	38.82	276.82	274.22000	274.22000	276.82000	274.00000	275.06000		2.14	-1.28
	38.84	276.95	274.34000	274.34000	276.95000	274.21000	275.23000		1.84	-1.38
	38.86	277.09	274.46000	274.46000	277.09000	274.43000	275.40000		2.03	-1.35
	38.88	277.22	274.58000	274.58000	277.22000	274.64000	275.57000		2.16	-1.17
	38.90	277.36	274.70000	274.70000	277.36000	274.85000	275.74000		2.47	-1.08
	38.92	277.49	274.82000	274.82000	277.49000	275.07000	275.91000		2.62	-0.77
	38.94	277.63	274.94000	274.94000	277.63000	275.28000	276.08000		2.43	-0.84
	38.96	277.76	275.06000	275.06000	277.76000	275.45000	276.25000		2.62	-0.87
	38.98	277.90	275.18000	275.18000	277.90000	275.62000	276.42000		2.30	-1.03
	39.00	278.03	275.30000	275.30000	278.03000	275.79000	276.59000		2.15	-1.11
	39.02	278.17	275.42000	275.42000	278.17000	275.97000	276.76000		2.08	-1.31
	39.04	278.30	275.54000	275.54000	278.30000	276.14000	276.93000		1.65	-1.33
	39.06	278.44	275.67000	275.67000	278.44000	276.31000	277.10000		2.15	-1.14
	39.08	278.57	275.79000	275.79000	278.57000	276.48000	277.27000		1.98	-0.85
	39.10	278.71	275.91000	275.91000	278.71000	276.65000	277.44000		1.74	-1.21
	39.12	278.84	276.03000	276.03000	278.84000	276.82000	277.61000		1.94	-1.10
	39.14	278.98	276.15000	276.15000	278.98000	276.99000	277.79000		1.60	-1.40
	39.16	279.11	276.27000	276.27000	279.11000	277.16000	277.96000		1.82	-1.25
	39.18	279.25	276.39000	276.39000	279.25000	277.32000	278.13000		1.56	-1.25
	39.20	279.38	276.51000	276.51000	279.38000	277.46000	278.30000		2.01	-1.09
	39.22	279.52	276.63000	276.63000	279.52000	277.60000	278.47000		1.54	-1.24
	39.24	279.65	276.75000	276.75000	279.65000	277.74000	278.64000		1.29	-0.88
	39.26	279.79	276.87000	276.87000	279.79000	277.87000	278.81000		1.22	-1.07
	39.28	279.92	276.99000	276.99000	279.92000	278.01000	278.98000		1.16	-1.04
	39.30	280.05	277.11000	277.11000	280.05000	278.15000	279.15000		1.00	-1.15
	39.32	280.19	277.23000	277.23000	280.19000	278.29000	279.32000		1.19	-1.09
	39.34	280.32	277.36000	277.36000	280.32000	278.43000	279.49000		1.21	-1.08
	39.36	280.46	277.48000	277.48000	280.46000	278.57000	279.66000		1.32	-0.84
	39.38	280.59	277.60000	277.60000	280.59000	278.71000	279.83000		1.29	-1.28
	39.40	280.73	277.72000	277.72000	280.73000	278.85000	280.00000		1.39	-1.21
	39.42	280.86	277.84000	277.84000	280.86000	278.98000	280.17000		2.12	-0.73
	39.44	281.00	277.96000	277.96000	281.00000	279.12000	280.34000		2.04	-0.96
	39.46	281.13	278.08000	278.08000	281.13000	279.26000	280.51000		1.28	-1.03
	39.48	281.27	278.20000	278.20000	281.27000	279.40000	280.68000		1.07	-1.35
	39.50	281.40	278.32000	278.32000	281.40000	279.54000	280.85000		1.39	-0.81
	39.52	281.54	278.44000	278.44000	281.54000	279.68000	281.02000		1.20	-0.86
	39.54	281.67	278.56000	278.56000	281.67000	279.82000	281.19000		1.20	-0.94
	39.58	281.94	278.80000	278.80000	281.94000	280.09000	281.54000		1.11	-0.93
	39.60	282.08	278.93000	278.93000	282.08000	280.23000	281.71000		1.16	-0.80
	39.62	282.21	279.05000	279.05000	282.21000	280.37000	281.88000		1.21	-0.56
	39.64	282.35	279.17000	279.17000	282.35000	280.51000	282.05000		1.15	-0.60
	39.66	282.48	279.29000	279.29000	282.48000	280.68000	282.22000		0.91	-0.80
	39.68	282.62	279.41000	279.41000	282.62000	280.87000	282.39000		1.00	-0.82
	39.70	282.75	279.53000	279.53000	282.75000	281.06000	282.56000		1.07	-0.53
	39.72	282.89	279.65000	279.65000	282.89000	281.25000	282.73000		0.97	-0.77
	39.74	283.02	279.77000	279.77000	283.02000	281.44000	282.90000		1.03	-0.60
	39.76	283.16	279.89000	279.89000	283.16000	281.63000	283.07000		1.04	-0.68
	39.78	283.29	280.01000	280.01000	283.29000	281.83000	283.24000		1.01	-0.81
	39.80	283.43	280.13000	280.13000	283.43000	282.02000	283.41000		0.93	-0.98
	39.82	283.56	280.25000	280.25000	283.56000	282.21000	283.57000		0.94	-0.72
	39.84	283.70	280.37000	280.37000	283.70000	282.40000	283.70000		1.06	-0.84
	39.86	283.83	280.49000	280.49000	283.83000	282.59000	283.82000		0.89	-0.78
	39.88	283.97	280.62000	280.62000	283.97000	282.79000	283.94000		1.01	-0.74
	39.90	284.10	280.74000	280.74000	284.10000	282.98000	284.06000		1.07	-0.70
	39.92	284.24	280.86000	280.86000	284.24000	283.17000	284.18000		1.09	-0.86
	39.94	284.37	280.98000	280.98000	284.37000	283.36000	284.30000		1.26	-0.67
	39.96	284.51	281.10000	281.10000	284.51000	283.55000	284.42000		0.99	-0.90
	39.98	284.64	281.22000	281.22000	284.64000	283.74000	284.54000		1.02	-0.88
	40.00	284.78	281.34000	281.34000	284.78000	283.94000	284.66000		0.83	-1.04
	40.02	284.91	281.46000	281.46000	284.91000	284.13000	284.78000		1.08	-1.03
	40.04	285.05	281.58000	281.58000	285.05000	284.32000	284.90000		1.09	-0.90
	40.06	285.18	281.70000	281.70000	285.18000	284.51000	285.02000		0.91	-0.97
	40.08	285.32	281.82000	281.82000	285.32000	284.70000	285.14000		1.01	-0.98
	40.10	285.45	281.94000	281.94000	285.45000	284.89000	285.26000		0.98	-0.76
	40.12	285.59	282.06000	282.06000	285.59000	285.09000	285.38000		1.07	-1.06
	40.14	285.72	282.18000	282.18000	285.72000	285.28000	285.50000		0.86	-0.93
	40.16	285.86	282.31000	282.31000	285.86000	285.47000	285.62000		0.96	-1.01
	40.18	285.99	282.43000	282.43000	285.99000	285.66000	285.75000		0.97	-0.95
	40.20	286.12	282.55000	282.55000	286.12000	285.85000	285.87000		0.86	-0.88
	40.22	286.26	282.67000	282.67000	286.26000	286.04000	285.99000		0.72	-0.99
	40.24	286.39	282.79000	282.79000	286.39000	286.24000	286.11000		0.79	-1.05
	40.28	286.66	283.03000	283.03000	286.66000	286.62000	286.35000		0.81	-1.09
	40.30	286.80	283.15000	283.15000	286.80000	286.81000	286.47000		0.83	-0.87
	40.32	286.93	283.27000	283.27000	286.93000	287.00000	286.59000		0.81	-0.95
	40.34	287.07	283.39000	283.39000	287.07000	287.20000	286.71000		0.71	-0.88
	40.36	287.20	283.51000	283.51000	287.20000	287.39000	286.83000		0.90	-0.96
	40.38	287.34	283.63000	283.63000	287.34000	287.58000	286.95000		0.73	-1.02
	40.40	287.47	283.75000	283.75000	287.47000	287.77000	287.07000		0.83	-1.13
	40.42	287.61	283.87000	283.87000	287.61000	287.96000	287.19000		0.91	-0.98
	40.44	287.74	284.00000	284.00000	287.74000	288.15000	287.31000		0.77	-1.03
	40.46	287.88	284.12000	284.12000	287.88000	288.35000	287.43000		0.72	-0.99
	40.48	288.01	284.24000	284.24000	288.01000	288.54000	287.55000		0.74	-1.21
	40.50	288.15	284.36000	284.36000	288.15000	288.73000	287.68000		0.84	-0.96
	40.52	288.28	284.48000	284.48000	288.28000	288.92000	287.80000		0.62	-1.34
	40.54	288.42	284.60000	284.60000	288.42000	289.11000	287.92000		0.65	-1.17
	40.56	288.55	284.72000	284.72000	288.55000	289.30000	288.04000		0.65	-0.99
	40.58	288.69	284.86000	284.86000	288.69000	289.50000	288.16000		0.61	-0.84
	40.60	288.82	284.99000	284.99000	288.82000	289.69000	288.28000		0.70	-1.02
	40.62	288.96	285.13000	285.13000	288.96000	289.88000	288.40000		0.74	-0.92
	40.64	289.09	285.27000	285.27000	289.09000	290.07000	288.52000		0.59	-1.32
	40.66	289.22	285.41000	285.41000	289.22000	290.26000	288.64000		0.91	-0.79
	40.68	289.34	285.54000	285.54000	289.34000	290.45000	288.76000		0.79	-0.86
	40.70	289.47	285.68000	285.68000	289.47000	290.65000	288.88000		0.84	-1.15
	40.72	289.59	285.82000	285.82000	289.59000	290.84000	289.00000		0.81	-1.24
	40.74	289.71	285.96000	285.96000	289.71000	291.03000	289.12000		0.86	-1.00
	40.76	289.84	286.09000	286.09000	289.84000	291.22000	289.24000		0.81	-1.10
	40.78	289.96	286.23000	286.23000	289.96000	291.41000	289.36000		0.98	-0.78
	40.80	290.08	286.37000	286.37000	290.08000	291.61000	289.48000		0.89	-1.15
	40.82	290.20	286.51000	286.51000	290.20000	291.80000	289.60000		0.54	-1.29
	40.84	290.33	286.64000	286.64000	290.33000	291.99000	289.73000		0.79	-1.29
	40.86	290.45	286.78000	286.78000	290.45000	292.18000	289.85000		0.98	-1.03
	40.88	290.57	286.92000	286.92000	290.57000	292.37000	289.97000		0.62	-1.44
	40.90	290.69	287.06000	287.06000	290.69000	292.56000	290.09000		0.80	-1.21
	40.92	290.82	287.19000	287.19000	290.82000	292.69000	290.21000		1.56	-0.85
	40.94	290.94	287.33000	287.33000	290.94000	292.75000	290.33000		1.67	-0.71
	40.96	291.06	287.47000	287.47000	291.06000	292.82000	290.45000		1.53	-0.85
	40.98	291.19	287.61000	287.61000	291.19000	292.88000	290.57000		1.98	-0.59
	41.00	291.31	287.74000	287.74000	291.31000	292.94000	290.69000		1.97	-0.60
	41.02	291.43	287.88000	287.88000	291.43000	293.00000	290.81000		1.98	-0.64
	41.04	291.55	288.02000	288.02000	291.55000	293.06000	290.93000		1.95	-0.80
	41.06	291.68	288.16000	288.16000	291.68000	293.13000	291.05000		2.12	-0.62
	41.08	291.80	288.29000	288.29000	291.80000	293.19000	291.17000		2.00	-0.83
	41.10	291.92	288.43000	288.43000	291.92000	293.25000	291.29000		2.08	-0.90
	41.12	292.04	288.57000	288.57000	292.04000	293.31000	291.41000		1.81	-0.72
	41.14	292.17	288.71000	288.71000	292.17000	293.38000	291.53000		2.03	-0.89
	41.16	292.29	288.84000	288.84000	292.29000	293.44000	291.66000		1.99	-0.62
	41.18	292.41	288.98000	288.98000	292.41000	293.50000	291.78000		1.81	-0.87
	41.20	292.54	289.12000	289.12000	292.54000	293.56000	291.90000		1.77	-1.10
	41.22	292.66	289.25000	289.25000	292.66000	293.62000	292.02000		2.01	-0.83
	41.24	292.78	289.39000	289.39000	292.78000	293.69000	292.14000		2.15	-0.94
	41.26	292.90	289.53000	289.53000	292.90000	293.75000	292.36000		2.21	-0.85
	41.28	293.03	289.67000	289.67000	293.03000	293.81000	292.59000		1.71	-0.81
	41.30	293.15	289.80000	289.80000	293.15000	293.87000	292.82000		1.53	-1.04
	41.32	293.27	289.94000	289.94000	293.27000	293.94000	293.05000		1.82	-1.01
	41.34	293.39	290.08000	290.08000	293.39000	294.00000	293.29000		1.71	-0.78
	41.37	293.58	290.29000	290.29000	293.58000	294.09000	293.63000		2.11	-0.96
	41.39	293.70	290.42000	290.42000	293.70000	294.15000	293.87000		2.00	-0.89
	41.41	293.82	290.56000	290.56000	293.82000	294.22000	294.10000		1.94	-0.92
	41.43	293.95	290.70000	290.70000	293.95000	294.28000	294.33000		2.05	-1.02
	41.45	294.07	290.84000	290.84000	294.07000	294.34000	294.56000		2.08	-0.98
	41.47	294.19	290.97000	290.97000	294.19000	294.40000	294.79000		2.00	-1.02
	41.49	294.32	291.11000	291.11000	294.32000	294.47000	295.03000		1.99	-0.94
	41.51	294.44	291.25000	291.25000	294.44000	294.53000	295.26000		1.71	-1.05
	41.53	294.56	291.38000	291.38000	294.56000	294.59000	295.49000		1.45	-1.04
	41.55	294.68	291.52000	291.52000	294.68000	294.65000	295.72000		1.60	0.24
	41.57	294.81	291.66000	291.66000	294.81000	294.71000	295.96000		1.38	-1.14
	41.59	294.93	291.80000	291.80000	294.93000	294.78000	296.19000		1.89	-0.92
	41.61	295.05	291.93000	291.93000	295.05000	294.84000	296.42000		1.74	-1.20
	41.63	295.17	292.07000	292.07000	295.17000	294.90000	296.65000		1.76	-1.00
	41.65	295.30	292.21000	292.21000	295.30000	294.96000	296.88000		1.71	-1.09
	41.67	295.42	292.35000	292.35000	295.42000	295.03000	297.12000		1.48	-1.02
	41.69	295.54	292.48000	292.48000	295.54000	295.09000	297.35000		1.59	-1.16
	41.71	295.67	292.62000	292.62000	295.67000	295.15000	297.58000		1.38	-1.04
	41.73	295.79	292.76000	292.76000	295.79000	295.21000	297.81000		1.32	-1.22
	41.75	295.91	292.90000	292.90000	295.91000	295.27000	298.05000		1.63	-0.96
	41.77	296.03	293.03000	293.03000	296.03000	295.34000	298.28000		1.25	-0.96
	41.79	296.16	293.17000	293.17000	296.16000	295.40000	298.51000		1.30	-1.04
	41.81	296.28	293.31000	293.31000	296.28000	295.46000	298.74000		1.50	-1.03
	41.83	296.40	293.45000	293.45000	296.40000	295.52000	298.97000		1.36	-0.97
	41.85	296.53	293.58000	293.58000	296.53000	295.59000	299.21000		1.37	-1.16
	41.87	296.65	293.72000	293.72000	296.65000	295.65000	299.44000		1.37	-0.85
	41.89	296.77	293.86000	293.86000	296.77000	295.71000	299.67000		1.46	-1.12
	41.91	296.89	294.00000	294.00000	296.89000	295.77000	299.90000		1.94	-0.89
	41.93	297.02	294.13000	294.13000	297.02000	295.83000	300.14000		1.79	-0.95
	41.95	297.14	294.27000	294.27000	297.14000	295.90000	300.37000		1.81	-0.94
	41.97	297.26	294.41000	294.41000	297.26000	295.96000	300.60000		1.25	-1.21
	41.99	297.38	294.55000	294.55000	297.38000	296.07000	300.83000		2.20	-0.76
	42.01	297.51	294.68000	294.68000	297.51000	296.23000	301.06000		1.88	-1.13
	42.03	297.63	294.82000	294.82000	297.63000	296.39000	301.30000		2.06	-1.32
	42.05	297.75	294.96000	294.96000	297.75000	296.56000	301.53000		1.55	-1.13
	42.07	297.88	295.10000	295.10000	297.88000	296.72000	301.76000		1.66	-1.03
	42.09	298.00	295.23000	295.23000	298.00000	296.88000	301.99000		1.56	-0.73
	42.11	298.12	295.37000	295.37000	298.12000	297.04000	302.23000		1.39	-1.32
	42.13	298.24	295.49000	295.49000	298.24000	297.20000	302.46000		1.48	-0.82
	42.15	298.37	295.60000	295.60000	298.37000	297.37000	302.69000		1.29	-1.09
	42.17	298.49	295.72000	295.72000	298.49000	297.53000	302.92000		1.40	-0.85
	42.19	298.61	295.83000	295.83000	298.61000	297.69000	303.15000		1.54	-1.06
