/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for all benthic foraminifera in piston core MD01-2444 and IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951395, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.030 m * MAXIMUM DEPTH, sediment/rock: 26.910 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	δ18O [‰] (δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: mixed species corrected to Uvig.
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	17690 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	δ18O [‰] (mixed species corrected to Uv...)
25.350	26.29	170.70	168.92000	172.74000	180.90000	169.45000	171.23000		4.1661
25.380	26.33	171.03	169.23000	173.09000	181.37000	169.76000	171.51000		4.2962
25.410	26.36	171.37	169.55000	173.45000	181.85000	170.08000	171.78000		4.3282
25.440	26.40	171.71	169.87000	173.81000	182.32000	170.40000	172.06000		4.3464
25.470	26.43	172.04	170.18000	174.16000	182.79000	170.72000	172.33000		4.4070
25.500	26.46	172.37	170.50000	174.53000	183.27000	171.04000	172.61000		4.5378
25.530	26.50	172.71	170.82000	174.89000	183.74000	171.35000	172.89000		4.5800
25.560	26.53	173.04	171.13000	175.24000	184.21000	171.67000	173.16000		4.5900
25.590	26.57	173.38	171.45000	175.60000	184.68000	171.99000	173.44000		4.6250
25.650	26.64	174.05	172.07000	176.32000	185.63000	172.63000	173.99000		4.4650
25.680	26.67	174.38	172.38000	176.67000	185.89000	172.95000	174.26000		4.5333
25.710	26.70	174.71	172.67000	177.00000	186.04000	173.26000	174.55000		4.2300
25.740	26.74	175.17	172.96000	177.33000	186.19000	173.71000	175.09000		4.4433
25.770	26.77	175.65	173.27000	177.67000	186.34000	174.22000	175.63000		4.4900
25.800	26.80	176.11	173.56000	178.00000	186.49000	174.73000	176.17000		4.6600
25.830	26.83	176.59	173.86000	178.35000	186.64000	175.25000	176.71000		4.7400
25.860	26.87	177.06	174.15000	178.68000	186.79000	175.76000	177.25000		4.6100
25.890	26.90	177.52	174.44000	179.01000	186.94000	176.27000	177.80000		4.5900
25.920	26.93	178.00	174.74000	179.35000	187.09000	176.78000	178.34000		4.6167
25.950	26.96	178.49	175.03000	179.68000	187.24000	177.29000	178.88000		4.5081
25.980	27.00	179.23	175.32000	180.01000	187.39000	177.80000	179.42000		4.6891
26.010	27.03	179.98	175.62000	180.35000	187.54000	178.32000	179.96000		4.1634
26.040	27.06	180.30	175.91000	180.69000	187.69000	178.83000	180.33000		4.4405
26.070	27.09	180.60	176.21000	181.03000	187.84000	179.34000	180.66000		4.3760
26.100	27.12	180.89	176.50000	181.36000	187.99000	179.72000	180.99000		4.5431
26.130	27.16	181.18	176.80000	181.69000	188.14000	180.04000	181.32000		4.4838
26.160	27.19	181.48	177.10000	182.03000	188.29000	180.35000	181.65000		4.3537
26.190	27.22	181.77	177.39000	182.36000	188.44000	180.67000	181.98000		4.5395
26.220	27.25	182.07	177.69000	182.70000	188.59000	180.99000	182.31000		4.4790
26.250	27.29	182.37	177.98000	183.04000	188.74000	181.31000	182.64000		4.6461
26.280	27.32	182.66	178.27000	183.37000	188.89000	181.62000	182.97000		4.7229
26.310	27.35	182.96	178.57000	183.71000	189.04000	181.94000	183.30000		4.7401
26.340	27.38	183.25	178.86000	184.04000	189.19000	182.26000	183.63000		4.7516
26.370	27.42	183.54	179.15000	184.37000	189.34000	182.57000	183.96000		4.6712
26.400	27.45	183.84	179.45000	184.71000	189.49000	182.89000	184.29000		4.6688
26.430	27.48	184.13	179.74000	185.04000	189.64000	183.21000	184.62000		4.6772
26.460	27.51	184.43	180.04000	185.39000	189.79000	183.52000	184.95000		4.6420
26.490	27.55	184.72	180.34000	185.72000	189.94000	183.84000	185.28000		4.7053
26.520	27.58	185.01	180.63000	186.05000	190.09000	184.16000	185.61000		4.5990
26.550	27.61	185.30	180.92000	186.38000	190.24000	184.47000	185.94000		4.7003
26.580	27.64	185.57	181.19000	186.69000	190.38000	184.79000	186.27000		4.6868
26.610	27.67	185.85	181.46000	187.00000	190.52000	185.11000	186.61000		4.6015
26.640	27.70	186.12	181.74000	187.25000	190.65000	185.42000	186.94000		4.5528
26.670	27.73	186.39	182.01000	187.50000	190.79000	185.74000	187.27000		4.4994
26.700	27.76	186.66	182.28000	187.75000	190.93000	186.06000	187.60000		4.5151
26.730	27.79	186.94	182.56000	187.99000	191.07000	186.37000	187.93000		4.4760
26.760	27.82	187.21	182.83000	188.24000	191.21000	186.69000	188.26000		4.3519
26.790	27.85	187.48	183.10000	188.49000	191.35000	187.01000	188.59000		4.3795
26.820	27.89	187.81	183.43000	188.79000	191.52000	187.32000	188.87000		4.2806
26.850	27.93	188.16	183.78000	189.11000	191.70000	187.64000	189.03000		4.1411
26.880	27.96	188.52	184.14000	189.44000	191.88000	187.96000	189.18000		4.1704
26.910	28.00	188.87	184.49000	189.76000	192.06000	188.28000	189.34000		4.0889
	28.12	189.94	185.56000	190.73000	192.60000	188.74000	191.31000		4.1600
	28.13	190.03	185.65000	190.81000	192.65000	188.82000	191.40000		4.2200
	28.14	190.12	185.74000	190.90000	192.69000	188.90000	191.49000		3.8800
	28.16	190.30	185.92000	191.06000	192.79000	189.05000	191.67000		4.0400
	28.18	190.57	186.11000	191.23000	192.88000	189.20000	191.84000		3.8100
	28.20	190.84	186.29000	191.39000	192.97000	189.35000	192.02000		3.6500
	28.22	191.10	186.47000	191.56000	193.06000	189.51000	192.20000		3.6400
	28.26	191.64	186.83000	191.89000	193.25000	190.05000	192.55000		3.9400
	28.30	192.18	187.20000	192.22000	193.43000	190.83000	192.90000		3.9600
	28.32	192.45	187.38000	192.39000	193.53000	191.22000	193.08000		4.2600
	28.33	192.58	187.47000	192.47000	193.57000	191.42000	193.17000		4.2100
	28.36	192.98	187.74000	192.72000	193.71000	192.00000	193.43000		4.0400
	28.38	193.25	187.93000	192.88000	193.81000	192.39000	193.61000		4.0800
	28.40	193.52	188.11000	193.05000	193.90000	192.78000	193.79000		3.8600
	28.42	193.79	188.29000	193.22000	193.99000	193.17000	193.96000		4.0900
	28.44	194.06	188.47000	193.38000	194.08000	193.26000	194.14000		3.8900
	28.46	194.23	188.65000	193.55000	194.18000	193.35000	194.32000		3.9600
	28.48	194.32	188.84000	193.71000	194.27000	193.44000	194.49000		3.8600
	28.50	194.41	189.02000	193.88000	194.36000	193.53000	194.67000		3.8400
	28.52	194.50	189.20000	194.04000	194.45000	193.62000	194.85000		4.1600
	28.58	194.77	189.75000	194.54000	194.73000	193.93000	195.38000		4.0800
	28.62	194.95	190.11000	194.87000	194.92000	194.27000	195.73000		3.8600
	28.64	195.04	190.29000	195.04000	195.01000	194.43000	195.91000		3.9100
	28.65	195.08	190.38000	195.12000	195.06000	194.52000	195.99000		3.9800
	28.66	195.13	190.47000	195.20000	195.10000	194.60000	196.08000		4.0200
	28.68	195.22	190.66000	195.37000	195.20000	194.76000	196.26000		3.7900
	28.70	195.31	190.84000	195.54000	195.29000	194.93000	196.44000		3.9000
	28.72	195.40	191.02000	195.70000	195.38000	195.10000	196.61000		3.9500
	28.74	195.49	191.21000	195.87000	195.47000	195.26000	196.79000		3.9700
	28.76	195.58	191.40000	196.03000	195.57000	195.43000	196.97000		4.0200
	28.78	195.67	191.60000	196.20000	195.66000	195.60000	197.14000		3.9300
	28.80	195.76	191.79000	196.36000	195.75000	195.76000	197.32000		3.8700
	28.82	195.85	191.99000	196.53000	195.84000	195.93000	197.50000		3.8800
	28.84	195.96	192.18000	196.70000	195.96000	196.10000	197.67000		3.8300
	28.86	196.11	192.38000	196.86000	196.11000	196.26000	197.85000		3.4900
	28.88	196.25	192.57000	197.03000	196.25000	196.43000	198.03000		3.7900
	28.90	196.39	192.76000	197.19000	196.39000	196.59000	198.20000		3.6800
	28.92	196.54	192.96000	197.36000	196.54000	196.76000	198.38000		3.4100
	28.94	196.68	193.15000	197.52000	196.68000	196.93000	198.56000		3.6500
	28.96	196.83	193.35000	197.69000	196.83000	197.09000	198.73000		3.6400
	29.00	197.12	193.74000	198.02000	197.12000	197.43000	199.08000		3.4500
	29.02	197.26	193.93000	198.19000	197.26000	197.59000	199.26000		3.5500
	29.05	197.48	194.23000	198.44000	197.48000	197.84000	199.53000		3.4200
	29.06	197.55	194.32000	198.52000	197.55000	197.93000	199.61000		3.3800
	29.08	197.69	194.52000	198.69000	197.69000	198.09000	199.79000		3.4000
	29.10	197.84	194.71000	198.85000	197.84000	198.26000	199.97000		3.5200
	29.14	198.12	195.10000	199.18000	198.12000	198.59000	200.32000		3.5000
	29.18	198.41	195.49000	199.51000	198.41000	198.92000	200.67000		3.4700
	29.20	198.56	195.69000	199.68000	198.56000	199.09000	200.85000		3.3100
	29.22	198.70	195.88000	199.85000	198.70000	199.26000	201.03000		3.6400
	29.24	198.84	196.07000	200.01000	198.84000	199.42000	201.20000		3.3400
	29.25	198.92	196.17000	200.09000	198.92000	199.51000	201.29000		3.3200
	29.26	198.99	196.27000	200.18000	198.99000	199.59000	201.38000		3.5400
	29.28	199.13	196.46000	200.34000	199.13000	199.75000	201.56000		3.3900
	29.34	199.57	197.05000	200.84000	199.57000	200.25000	202.09000		3.6900
	29.36	199.71	197.24000	201.01000	199.71000	200.42000	202.26000		3.6700
	29.38	199.85	197.44000	201.17000	199.85000	200.59000	202.44000		3.6700
	29.42	200.14	197.83000	201.50000	200.14000	200.92000	202.79000		3.6000
	29.45	200.36	198.12000	201.75000	200.36000	201.17000	203.06000		3.6100
	29.46	200.43	198.22000	201.83000	200.43000	201.25000	203.15000		3.4300
	29.48	200.57	198.41000	202.00000	200.57000	201.42000	203.32000		3.3800
	29.50	200.72	198.61000	202.15000	200.72000	201.58000	203.50000		3.4800
	29.52	200.86	198.80000	202.29000	200.86000	201.75000	203.68000		3.5400
	29.54	201.01	199.00000	202.44000	201.01000	201.92000	203.85000		3.4800
	29.56	201.15	199.19000	202.59000	201.15000	202.10000	204.02000		3.7500
	29.58	201.29	199.38000	202.74000	201.29000	202.29000	204.18000		3.9100
	29.62	201.58	199.77000	203.03000	201.58000	202.67000	204.49000		3.9600
	29.64	201.73	199.97000	203.18000	201.73000	202.86000	204.65000		3.8700
	29.65	201.80	200.07000	203.25000	201.80000	202.96000	204.72000		3.7800
	29.66	201.87	200.16000	203.32000	201.87000	203.05000	204.80000		3.7800
	29.68	202.02	200.36000	203.47000	202.02000	203.24000	204.96000		4.1300
	29.70	202.16	200.55000	203.62000	202.16000	203.43000	205.11000		3.9900
	29.74	202.45	200.94000	203.91000	202.45000	203.81000	205.42000		3.9600
	29.76	202.59	201.14000	204.06000	202.59000	204.01000	205.58000		3.7700
	29.78	202.74	201.33000	204.21000	202.74000	204.20000	205.73000		3.8800
	29.80	202.88	201.53000	204.35000	202.88000	204.39000	205.89000		3.8900
	29.82	203.02	201.72000	204.50000	203.02000	204.58000	206.04000		3.7700
	29.84	203.17	201.92000	204.65000	203.17000	204.77000	206.20000		3.9000
	29.85	203.24	202.01000	204.72000	203.24000	204.87000	206.28000		3.8000
	29.86	203.31	202.11000	204.79000	203.31000	204.96000	206.35000		3.9300
	29.88	203.46	202.30000	204.94000	203.46000	205.15000	206.51000		3.7400
	29.90	203.60	202.50000	205.09000	203.60000	205.34000	206.67000		3.8100
	29.92	203.74	202.69000	205.24000	203.74000	205.53000	206.82000		3.7200
	29.94	203.89	202.89000	205.38000	203.89000	205.72000	206.98000		3.8200
	29.96	204.03	203.08000	205.53000	204.03000	205.92000	207.13000		3.7200
	29.98	204.18	203.28000	205.68000	204.18000	206.11000	207.29000		3.8200
	30.00	204.32	203.47000	205.82000	204.32000	206.30000	207.44000		3.7500
	30.02	204.47	203.67000	205.97000	204.47000	206.49000	207.60000		3.8000
	30.04	204.61	203.86000	206.12000	204.61000	206.68000	207.75000		3.5900
	30.06	204.75	204.06000	206.26000	204.75000	206.87000	207.91000		3.7300
	30.08	204.90	204.25000	206.41000	204.90000	207.06000	208.06000		3.9100
	30.10	205.04	204.45000	206.56000	205.04000	207.25000	208.22000		3.6300
	30.12	205.19	204.64000	206.71000	205.19000	207.44000	208.38000		3.7300
	30.14	205.33	204.84000	206.85000	205.33000	207.63000	208.53000		3.9200
	30.15	205.40	204.93000	206.93000	205.40000	207.73000	208.61000		3.7500
	30.16	205.47	205.03000	207.00000	205.47000	207.83000	208.69000		3.7000
	30.18	205.62	205.23000	207.15000	205.62000	208.02000	208.84000		3.7500
	30.20	205.76	205.42000	207.29000	205.76000	208.21000	209.00000		3.8100
	30.22	205.91	205.61000	207.44000	205.91000	208.40000	209.15000		3.7600
	30.24	206.05	205.81000	207.59000	206.05000	208.59000	209.31000		3.6800
	30.26	206.19	206.00000	207.74000	206.19000	208.78000	209.46000		3.8400
	30.28	206.34	206.20000	207.88000	206.34000	208.97000	209.62000		3.6900
	30.30	206.48	206.39000	208.03000	206.48000	209.16000	209.77000		3.7400
	30.32	206.63	206.59000	208.18000	206.63000	209.35000	209.93000		3.7600
	30.34	206.77	206.78000	208.32000	206.77000	209.55000	210.08000		3.7300
	30.36	206.92	206.98000	208.47000	206.92000	209.74000	210.24000		3.7700
	30.38	207.06	207.17000	208.62000	207.06000	209.93000	210.40000		3.7500
	30.40	207.20	207.37000	208.76000	207.20000	210.12000	210.55000		3.6300
	30.42	207.35	207.56000	208.91000	207.35000	210.31000	210.71000		3.8000
	30.44	207.49	207.76000	209.06000	207.49000	210.50000	210.86000		3.7400
	30.46	207.64	207.95000	209.21000	207.64000	210.69000	211.02000		3.6900
	30.48	207.78	208.15000	209.35000	207.78000	210.88000	211.17000		3.6500
	30.50	207.92	208.34000	209.50000	207.92000	211.07000	211.33000		3.6600
	30.52	208.07	208.53000	209.65000	208.07000	211.26000	211.48000		3.6600
	30.54	208.21	208.73000	209.79000	208.21000	211.46000	211.64000		3.6200
	30.56	208.36	208.92000	209.94000	208.36000	211.65000	211.79000		3.6700
	30.58	208.50	209.12000	210.09000	208.50000	211.84000	211.95000		3.7000
	30.60	208.64	209.31000	210.24000	208.64000	212.03000	212.10000		3.3800
	30.62	208.79	209.51000	210.38000	208.79000	212.22000	212.26000		3.6700
	30.64	208.93	209.70000	210.53000	208.93000	212.41000	212.42000		3.9100
	30.66	209.08	209.90000	210.68000	209.08000	212.60000	212.57000		3.6300
	30.68	209.22	210.09000	210.82000	209.22000	212.79000	212.73000		3.6200
	30.70	209.37	210.29000	210.97000	209.37000	212.98000	212.88000		3.4100
	30.72	209.51	210.48000	211.12000	209.51000	213.17000	213.04000		3.3400
	30.74	209.65	210.68000	211.26000	209.65000	213.37000	213.19000		3.4800
	30.76	209.80	210.87000	211.41000	209.80000	213.56000	213.35000		3.6000
	30.78	209.94	211.07000	211.56000	209.94000	213.75000	213.50000		3.5200
	30.80	210.09	211.26000	211.71000	210.09000	213.94000	213.66000		3.3800
	30.82	210.23	211.46000	211.85000	210.23000	214.13000	213.81000		3.6100
	30.84	210.37	211.65000	212.00000	210.37000	214.32000	213.97000		3.5700
	30.86	210.52	211.84000	212.15000	210.52000	214.51000	214.13000		3.5900
	30.88	210.66	212.04000	212.29000	210.66000	214.70000	214.28000		3.5300
	30.90	210.81	212.23000	212.44000	210.81000	214.89000	214.44000		3.4700
	30.92	210.95	212.43000	212.59000	210.95000	215.08000	214.59000		3.4100
	30.96	211.24	212.82000	212.88000	211.24000	215.47000	214.90000		3.5600
	30.98	211.38	213.01000	213.03000	211.38000	215.66000	215.06000		3.4500
	31.00	211.53	213.21000	213.18000	211.53000	215.85000	215.21000		3.5800
	31.02	211.67	213.40000	213.32000	211.67000	216.04000	215.37000		3.4900
	31.04	211.82	213.60000	213.47000	211.82000	216.23000	215.52000		3.5600
	31.06	211.96	213.79000	213.62000	211.96000	216.42000	215.68000		3.4000
	31.08	212.10	213.99000	213.76000	212.10000	216.61000	215.83000		3.6400
	31.10	212.25	214.18000	213.91000	212.25000	216.80000	215.99000		3.4800
	31.12	212.44	214.38000	214.06000	212.44000	216.99000	216.15000		3.5900
	31.14	212.69	214.57000	214.21000	212.69000	217.19000	216.30000		3.5400
	31.16	212.93	214.77000	214.35000	212.93000	217.38000	216.46000		3.3800
	31.18	213.18	214.96000	214.50000	213.18000	217.57000	216.61000		3.5600
	31.20	213.42	215.15000	214.65000	213.42000	217.76000	216.77000		3.3500
	31.22	213.67	215.35000	214.79000	213.67000	217.95000	216.92000		3.4800
	31.24	213.92	215.54000	214.94000	213.92000	218.14000	217.08000		3.4900
	31.26	214.16	215.74000	215.09000	214.16000	218.33000	217.23000		3.4900
	31.28	214.41	215.93000	215.24000	214.41000	218.52000	217.39000		3.2900
	31.30	214.65	216.13000	215.38000	214.65000	218.71000	217.54000		3.5300
	31.32	214.90	216.32000	215.53000	214.90000	218.90000	217.70000		3.5500
	31.34	215.14	216.57000	215.68000	215.14000	219.10000	217.85000		3.4700
	31.36	215.39	216.87000	215.82000	215.39000	219.29000	218.01000		3.5200
	31.38	215.63	217.16000	215.97000	215.63000	219.48000	218.17000		3.5200
	31.40	215.88	217.46000	216.12000	215.88000	219.67000	218.32000		3.4200
	31.42	216.13	217.76000	216.26000	216.13000	219.86000	218.48000		3.4100
	31.44	216.37	218.05000	216.41000	216.37000	220.03000	218.63000		3.7000
	31.46	216.62	218.35000	216.56000	216.62000	220.21000	218.79000		3.3600
	31.48	216.86	218.65000	216.71000	216.86000	220.38000	218.94000		3.3800
	31.50	217.11	218.94000	216.85000	217.11000	220.56000	219.10000		3.4000
	31.52	217.35	219.24000	217.00000	217.35000	220.73000	219.25000		3.4400
	31.54	217.60	219.54000	217.45000	217.60000	220.91000	219.41000		3.5300
	31.55	217.72	219.68000	217.67000	217.72000	220.99000	219.49000		3.8100
	31.56	217.84	219.83000	217.89000	217.84000	221.08000	219.56000		3.8800
	31.58	218.09	220.13000	218.34000	218.09000	221.26000	219.72000		3.5400
	31.60	218.33	220.43000	218.78000	218.33000	221.43000	219.87000		3.5300
	31.62	218.58	220.72000	219.23000	218.58000	221.60000	220.03000		3.7400
	31.63	218.70	220.87000	219.45000	218.70000	221.69000	220.11000		4.3800
	31.65	218.95	221.17000	219.90000	218.95000	221.87000	220.37000		3.9700
	31.67	219.19	221.46000	220.35000	219.19000	222.04000	220.78000		3.9500
	31.69	219.44	221.76000	220.79000	219.44000	222.21000	221.19000		4.4000
	31.71	219.68	222.06000	221.24000	219.68000	222.39000	221.61000		4.5900
	31.73	219.93	222.35000	221.68000	219.93000	222.56000	222.02000		4.5100
	31.75	220.18	222.65000	222.13000	220.18000	222.74000	222.43000		4.5800
	31.77	220.42	222.95000	222.58000	220.42000	222.91000	222.84000		4.6600
	31.79	220.67	223.24000	223.02000	220.67000	223.09000	223.25000		4.9100
	31.81	220.91	223.54000	223.47000	220.91000	223.26000	223.62000		4.6000
	31.83	221.16	223.86000	223.86000	221.16000	223.44000	223.98000		4.8300
	31.85	221.40	224.19000	224.19000	221.40000	223.61000	224.35000		4.7700
	31.87	221.65	224.53000	224.53000	221.65000	223.78000	224.71000		4.6200
	31.89	221.89	224.87000	224.87000	221.89000	223.96000	225.07000		4.5900
	31.91	222.14	225.20000	225.20000	222.14000	224.13000	225.44000		4.5900
	31.93	222.38	225.54000	225.54000	222.38000	224.31000	225.80000		4.7300
	31.95	222.63	225.88000	225.88000	222.63000	224.48000	226.16000		4.6100
	31.99	223.12	226.55000	226.55000	223.12000	224.83000	226.89000		4.5100
	32.01	223.37	226.89000	226.89000	223.37000	225.01000	227.25000		4.3400
	32.03	223.61	227.22000	227.22000	223.61000	225.18000	227.61000		4.2700
	32.05	223.86	227.56000	227.56000	223.86000	225.35000	227.83000		4.3800
	32.07	224.10	227.90000	227.90000	224.10000	225.53000	228.02000		4.5100
	32.09	224.35	228.23000	228.23000	224.35000	225.70000	228.21000		4.4900
	32.11	224.59	228.57000	228.57000	224.59000	225.88000	228.39000		4.5800
	32.13	224.84	228.91000	228.91000	224.84000	226.05000	228.58000		4.5400
	32.15	225.09	229.24000	229.24000	225.09000	226.23000	228.77000		4.6100
	32.17	225.33	229.58000	229.58000	225.33000	226.40000	228.96000		4.5800
	32.19	225.58	229.92000	229.92000	225.58000	226.58000	229.14000		4.6100
	32.21	225.82	230.25000	230.25000	225.82000	226.75000	229.33000		4.4800
	32.23	226.07	230.59000	230.59000	226.07000	226.87000	229.52000		4.5500
	32.25	226.31	230.73000	230.71000	226.31000	227.00000	229.70000		4.4900
	32.27	226.56	230.86000	230.83000	226.56000	227.12000	229.89000		4.4200
	32.28	226.68	230.89000	230.89000	226.68000	227.19000	229.98000		4.3800
	32.30	226.93	230.99000	231.01000	226.93000	227.31000	230.17000		4.3000
	32.30	226.93	231.01000	231.01000	226.93000	227.31000	230.17000		4.4100
	32.32	227.17	231.12000	231.14000	227.17000	227.43000	230.36000		4.3900
	32.32	227.17	231.14000	231.14000	227.17000	227.43000	230.36000		4.2900
	32.34	227.42	231.25000	231.26000	227.42000	227.56000	230.55000		4.1100
	32.34	227.42	231.26000	231.26000	227.42000	227.56000	230.55000		4.3400
	32.36	227.66	231.38000	231.38000	227.66000	227.68000	230.73000		4.3700
	32.36	227.66	231.38000	231.38000	227.66000	227.68000	230.73000		4.4800
	32.38	227.91	231.50000	231.50000	227.91000	227.81000	230.92000		4.2500
	32.38	227.91	231.51000	231.50000	227.91000	227.81000	230.92000		4.3500
	32.40	228.15	231.62000	231.62000	228.15000	227.93000	231.11000		4.2700
	32.40	228.15	231.64000	231.62000	228.15000	227.93000	231.11000		4.3000
	32.42	228.40	231.74000	231.74000	228.40000	228.06000	231.29000		4.1700
	32.42	228.40	231.77000	231.74000	228.40000	228.06000	231.29000		4.4500
	32.44	228.64	231.86000	231.86000	228.64000	228.18000	231.48000		4.3000
	32.45	228.77	231.90000	231.92000	228.77000	228.24000	231.57000		4.2700
	32.46	228.89	231.99000	231.99000	228.89000	228.31000	231.67000		4.3600
	32.47	229.01	232.03000	232.05000	229.01000	228.37000	231.76000		4.2600
	32.48	229.14	232.11000	232.11000	229.14000	228.43000	231.86000		4.1400
	32.49	229.26	232.17000	232.17000	229.26000	228.49000	231.95000		4.2300
	32.52	229.63	232.35000	232.35000	229.63000	228.68000	232.23000		4.0600
	32.54	229.87	232.47000	232.47000	229.87000	228.80000	232.42000		4.0300
	32.56	230.12	232.59000	232.59000	230.12000	228.93000	232.60000		4.0100
	32.57	230.24	232.65000	232.65000	230.24000	228.99000	232.70000		4.4100
	32.58	230.36	232.71000	232.71000	230.36000	229.05000	232.79000		4.4000
	32.60	230.61	232.84000	232.84000	230.61000	229.18000	232.98000		3.9000
	32.62	230.85	232.96000	232.96000	230.85000	229.30000	233.16000		3.8300
	32.64	231.10	233.08000	233.08000	231.10000	229.43000	233.35000		3.8600
